[d=11 shard 5/7] 270000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5274s
[d=11 shard 5/7] 275000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5340s
[d=11 shard 5/7] 280000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5406s
[d=11 shard 5/7] 285000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5468s
[d=11 shard 5/7] 290000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5530s
[d=11 shard 5/7] 295000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5586s
[d=11 shard 5/7] 300000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5633s
[d=11 shard 5/7] 305000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5680s
[d=11 shard 5/7] 310000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5729s
[d=11 shard 5/7] 315000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5776s
[d=11 shard 5/7] 320000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5822s
[d=11 shard 5/7] 325000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5870s
[d=11 shard 5/7] 330000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5918s
[d=11 shard 5/7] 335000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5966s
[d=11 shard 5/7] 340000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6015s
[d=11 shard 5/7] 345000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6062s
[d=11 shard 5/7] 350000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6108s
[d=11 shard 5/7] 355000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6163s
[d=11 shard 5/7] 360000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6222s
[d=11 shard 5/7] 365000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6277s
[d=11 shard 5/7] 370000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6329s
[d=11 shard 5/7] 375000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6384s
[d=11 shard 5/7] 380000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6443s
[d=11 shard 5/7] 385000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6497s
[d=11 shard 5/7] 390000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6548s
[d=11 shard 5/7] 395000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6598s
