[d=10] 20000/976887 candidates, 534 charge-bound survivors, 208 blocked, 326 predicted bad, elapsed 172s
[d=10] 40000/976887 candidates, 642 charge-bound survivors, 212 blocked, 430 predicted bad, elapsed 344s
[d=10] 60000/976887 candidates, 642 charge-bound survivors, 212 blocked, 430 predicted bad, elapsed 498s
[d=10] 80000/976887 candidates, 774 charge-bound survivors, 218 blocked, 556 predicted bad, elapsed 662s
[d=10] 100000/976887 candidates, 778 charge-bound survivors, 218 blocked, 560 predicted bad, elapsed 793s
[d=10] 120000/976887 candidates, 778 charge-bound survivors, 218 blocked, 560 predicted bad, elapsed 910s
[d=10] 140000/976887 candidates, 814 charge-bound survivors, 218 blocked, 596 predicted bad, elapsed 1038s
[d=10] 160000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1158s
[d=10] 180000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1277s
[d=10] 200000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1386s
[d=10] 220000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1488s
[d=10] 240000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1590s
[d=10] 260000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1688s
[d=10] 280000/976887 candidates, 819 charge-bound survivors, 218 blocked, 601 predicted bad, elapsed 1785s
[d=10] 300000/976887 candidates, 843 charge-bound survivors, 218 blocked, 625 predicted bad, elapsed 1935s
[d=10] 320000/976887 candidates, 843 charge-bound survivors, 218 blocked, 625 predicted bad, elapsed 2205s
[d=10] 340000/976887 candidates, 844 charge-bound survivors, 218 blocked, 626 predicted bad, elapsed 2473s
[d=10] 360000/976887 candidates, 844 charge-bound survivors, 218 blocked, 626 predicted bad, elapsed 2741s
[d=10] 380000/976887 candidates, 844 charge-bound survivors, 218 blocked, 626 predicted bad, elapsed 3016s
[d=10] 400000/976887 candidates, 844 charge-bound survivors, 218 blocked, 626 predicted bad, elapsed 3286s
[d=10] 420000/976887 candidates, 844 charge-bound survivors, 218 blocked, 626 predicted bad, elapsed 3532s
