[d=11 shard 4/7] 5000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 134s
[d=11 shard 4/7] 10000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 253s
[d=11 shard 4/7] 15000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 364s
[d=11 shard 4/7] 20000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 470s
[d=11 shard 4/7] 25000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 579s
[d=11 shard 4/7] 30000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 692s
[d=11 shard 4/7] 35000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 797s
[d=11 shard 4/7] 40000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 898s
[d=11 shard 4/7] 45000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1003s
[d=11 shard 4/7] 50000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1114s
[d=11 shard 4/7] 55000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1227s
[d=11 shard 4/7] 60000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1341s
[d=11 shard 4/7] 65000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1461s
[d=11 shard 4/7] 70000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1573s
[d=11 shard 4/7] 75000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1680s
[d=11 shard 4/7] 80000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1748s
[d=11 shard 4/7] 85000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1851s
[d=11 shard 4/7] 90000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 1966s
[d=11 shard 4/7] 95000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2083s
[d=11 shard 4/7] 100000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2203s
[d=11 shard 4/7] 105000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2319s
[d=11 shard 4/7] 110000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2428s
[d=11 shard 4/7] 115000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2531s
[d=11 shard 4/7] 120000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2668s
[d=11 shard 4/7] 125000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2779s
[d=11 shard 4/7] 130000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2885s
[d=11 shard 4/7] 135000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 2984s
[d=11 shard 4/7] 140000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3087s
[d=11 shard 4/7] 145000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3184s
[d=11 shard 4/7] 150000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3254s
[d=11 shard 4/7] 155000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3327s
[d=11 shard 4/7] 160000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3400s
[d=11 shard 4/7] 165000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3459s
[d=11 shard 4/7] 170000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3519s
[d=11 shard 4/7] 175000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3578s
[d=11 shard 4/7] 180000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3638s
[d=11 shard 4/7] 185000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3735s
[d=11 shard 4/7] 190000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3840s
[d=11 shard 4/7] 195000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 3944s
[d=11 shard 4/7] 200000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 4047s
[d=11 shard 4/7] 205000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 4171s
[d=11 shard 4/7] 210000/634132 candidates, 7 charge-bound survivors, 5 blocked, 2 predicted bad, elapsed 4284s
