[d=10 shard 1/3] 5000/325629 candidates, 147 charge-bound survivors, 61 blocked, 86 predicted bad, elapsed 113s
[d=10 shard 1/3] 10000/325629 candidates, 197 charge-bound survivors, 62 blocked, 135 predicted bad, elapsed 228s
[d=10 shard 1/3] 15000/325629 candidates, 200 charge-bound survivors, 62 blocked, 138 predicted bad, elapsed 329s
[d=10 shard 1/3] 20000/325629 candidates, 200 charge-bound survivors, 62 blocked, 138 predicted bad, elapsed 420s
[d=10 shard 1/3] 25000/325629 candidates, 240 charge-bound survivors, 63 blocked, 177 predicted bad, elapsed 520s
[d=10 shard 1/3] 30000/325629 candidates, 246 charge-bound survivors, 63 blocked, 183 predicted bad, elapsed 628s
[d=10 shard 1/3] 35000/325629 candidates, 246 charge-bound survivors, 63 blocked, 183 predicted bad, elapsed 733s
[d=10 shard 1/3] 40000/325629 candidates, 246 charge-bound survivors, 63 blocked, 183 predicted bad, elapsed 830s
[d=10 shard 1/3] 45000/325629 candidates, 258 charge-bound survivors, 63 blocked, 195 predicted bad, elapsed 934s
[d=10 shard 1/3] 50000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1042s
[d=10 shard 1/3] 55000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1139s
[d=10 shard 1/3] 60000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1238s
[d=10 shard 1/3] 65000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1335s
[d=10 shard 1/3] 70000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1435s
[d=10 shard 1/3] 75000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1531s
[d=10 shard 1/3] 80000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1629s
[d=10 shard 1/3] 85000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1717s
[d=10 shard 1/3] 90000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1785s
[d=10 shard 1/3] 95000/325629 candidates, 261 charge-bound survivors, 63 blocked, 198 predicted bad, elapsed 1875s
[d=10 shard 1/3] 100000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 1975s
[d=10 shard 1/3] 105000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2080s
[d=10 shard 1/3] 110000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2182s
[d=10 shard 1/3] 115000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2291s
[d=10 shard 1/3] 120000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2396s
[d=10 shard 1/3] 125000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2490s
[d=10 shard 1/3] 130000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2592s
[d=10 shard 1/3] 135000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2735s
[d=10 shard 1/3] 140000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2833s
[d=10 shard 1/3] 145000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 2929s
[d=10 shard 1/3] 150000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3022s
[d=10 shard 1/3] 155000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3113s
[d=10 shard 1/3] 160000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3196s
[d=10 shard 1/3] 165000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3258s
[d=10 shard 1/3] 170000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3328s
[d=10 shard 1/3] 175000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3405s
[d=10 shard 1/3] 180000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3466s
[d=10 shard 1/3] 185000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3529s
[d=10 shard 1/3] 190000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3589s
[d=10 shard 1/3] 195000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3650s
[d=10 shard 1/3] 200000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3753s
[d=10 shard 1/3] 205000/325629 candidates, 268 charge-bound survivors, 63 blocked, 205 predicted bad, elapsed 3854s
