[d=11 shard 3/7] 5000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 136s
[d=11 shard 3/7] 10000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 257s
[d=11 shard 3/7] 15000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 369s
[d=11 shard 3/7] 20000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 477s
[d=11 shard 3/7] 25000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 587s
[d=11 shard 3/7] 30000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 701s
[d=11 shard 3/7] 35000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 807s
[d=11 shard 3/7] 40000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 908s
[d=11 shard 3/7] 45000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1012s
[d=11 shard 3/7] 50000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1123s
[d=11 shard 3/7] 55000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1237s
[d=11 shard 3/7] 60000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1353s
[d=11 shard 3/7] 65000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1475s
[d=11 shard 3/7] 70000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1590s
[d=11 shard 3/7] 75000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1697s
[d=11 shard 3/7] 80000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1766s
[d=11 shard 3/7] 85000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1870s
[d=11 shard 3/7] 90000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1985s
[d=11 shard 3/7] 95000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2104s
[d=11 shard 3/7] 100000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2224s
[d=11 shard 3/7] 105000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2342s
[d=11 shard 3/7] 110000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2450s
[d=11 shard 3/7] 115000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2553s
[d=11 shard 3/7] 120000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2697s
[d=11 shard 3/7] 125000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2804s
[d=11 shard 3/7] 130000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2911s
[d=11 shard 3/7] 135000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3010s
[d=11 shard 3/7] 140000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3113s
[d=11 shard 3/7] 145000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3204s
[d=11 shard 3/7] 150000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3270s
[d=11 shard 3/7] 155000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3351s
[d=11 shard 3/7] 160000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3417s
[d=11 shard 3/7] 165000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3475s
[d=11 shard 3/7] 170000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3535s
[d=11 shard 3/7] 175000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3595s
[d=11 shard 3/7] 180000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3657s
[d=11 shard 3/7] 185000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3768s
[d=11 shard 3/7] 190000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3873s
[d=11 shard 3/7] 195000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3976s
[d=11 shard 3/7] 200000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4088s
[d=11 shard 3/7] 205000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4207s
[d=11 shard 3/7] 210000/634132 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4316s
