[d=10 shard 0/3] 5000/325629 candidates, 163 charge-bound survivors, 71 blocked, 92 predicted bad, elapsed 114s
[d=10 shard 0/3] 10000/325629 candidates, 213 charge-bound survivors, 73 blocked, 140 predicted bad, elapsed 228s
[d=10 shard 0/3] 15000/325629 candidates, 218 charge-bound survivors, 73 blocked, 145 predicted bad, elapsed 328s
[d=10 shard 0/3] 20000/325629 candidates, 218 charge-bound survivors, 73 blocked, 145 predicted bad, elapsed 418s
[d=10 shard 0/3] 25000/325629 candidates, 260 charge-bound survivors, 77 blocked, 183 predicted bad, elapsed 518s
[d=10 shard 0/3] 30000/325629 candidates, 265 charge-bound survivors, 77 blocked, 188 predicted bad, elapsed 625s
[d=10 shard 0/3] 35000/325629 candidates, 265 charge-bound survivors, 77 blocked, 188 predicted bad, elapsed 728s
[d=10 shard 0/3] 40000/325629 candidates, 265 charge-bound survivors, 77 blocked, 188 predicted bad, elapsed 825s
[d=10 shard 0/3] 45000/325629 candidates, 281 charge-bound survivors, 77 blocked, 204 predicted bad, elapsed 929s
[d=10 shard 0/3] 50000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1035s
[d=10 shard 0/3] 55000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1132s
[d=10 shard 0/3] 60000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1228s
[d=10 shard 0/3] 65000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1323s
[d=10 shard 0/3] 70000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1422s
[d=10 shard 0/3] 75000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1520s
[d=10 shard 0/3] 80000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1617s
[d=10 shard 0/3] 85000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1709s
[d=10 shard 0/3] 90000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1772s
[d=10 shard 0/3] 95000/325629 candidates, 282 charge-bound survivors, 77 blocked, 205 predicted bad, elapsed 1861s
[d=10 shard 0/3] 100000/325629 candidates, 291 charge-bound survivors, 77 blocked, 214 predicted bad, elapsed 1961s
[d=10 shard 0/3] 105000/325629 candidates, 291 charge-bound survivors, 77 blocked, 214 predicted bad, elapsed 2065s
[d=10 shard 0/3] 110000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2166s
[d=10 shard 0/3] 115000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2274s
[d=10 shard 0/3] 120000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2379s
[d=10 shard 0/3] 125000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2473s
[d=10 shard 0/3] 130000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2574s
[d=10 shard 0/3] 135000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2715s
[d=10 shard 0/3] 140000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2812s
[d=10 shard 0/3] 145000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 2909s
[d=10 shard 0/3] 150000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3002s
[d=10 shard 0/3] 155000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3092s
[d=10 shard 0/3] 160000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3180s
[d=10 shard 0/3] 165000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3245s
[d=10 shard 0/3] 170000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3301s
[d=10 shard 0/3] 175000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3391s
[d=10 shard 0/3] 180000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3452s
[d=10 shard 0/3] 185000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3515s
[d=10 shard 0/3] 190000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3574s
[d=10 shard 0/3] 195000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3635s
[d=10 shard 0/3] 200000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3724s
[d=10 shard 0/3] 205000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3825s
[d=10 shard 0/3] 210000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 3925s
[d=10 shard 0/3] 215000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 4019s
[d=10 shard 0/3] 220000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 4130s
[d=10 shard 0/3] 225000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 4222s
[d=10 shard 0/3] 230000/325629 candidates, 292 charge-bound survivors, 77 blocked, 215 predicted bad, elapsed 4315s
