[d=11 shard 0/7] 5000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 135s
[d=11 shard 0/7] 10000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 256s
[d=11 shard 0/7] 15000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 366s
[d=11 shard 0/7] 20000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 473s
[d=11 shard 0/7] 25000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 582s
[d=11 shard 0/7] 30000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 695s
[d=11 shard 0/7] 35000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 799s
[d=11 shard 0/7] 40000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 900s
[d=11 shard 0/7] 45000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1004s
[d=11 shard 0/7] 50000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1116s
[d=11 shard 0/7] 55000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1230s
[d=11 shard 0/7] 60000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1345s
[d=11 shard 0/7] 65000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1465s
[d=11 shard 0/7] 70000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1579s
[d=11 shard 0/7] 75000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1686s
[d=11 shard 0/7] 80000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1754s
[d=11 shard 0/7] 85000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1858s
[d=11 shard 0/7] 90000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 1973s
[d=11 shard 0/7] 95000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2091s
[d=11 shard 0/7] 100000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2212s
[d=11 shard 0/7] 105000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2329s
[d=11 shard 0/7] 110000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2438s
[d=11 shard 0/7] 115000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2541s
[d=11 shard 0/7] 120000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2681s
[d=11 shard 0/7] 125000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2791s
[d=11 shard 0/7] 130000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2897s
[d=11 shard 0/7] 135000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 2994s
[d=11 shard 0/7] 140000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3097s
[d=11 shard 0/7] 145000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3192s
[d=11 shard 0/7] 150000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3260s
[d=11 shard 0/7] 155000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3338s
[d=11 shard 0/7] 160000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3407s
[d=11 shard 0/7] 165000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3466s
[d=11 shard 0/7] 170000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3525s
[d=11 shard 0/7] 175000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3585s
[d=11 shard 0/7] 180000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3645s
[d=11 shard 0/7] 185000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3748s
[d=11 shard 0/7] 190000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3852s
[d=11 shard 0/7] 195000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 3956s
[d=11 shard 0/7] 200000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4064s
[d=11 shard 0/7] 205000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4184s
[d=11 shard 0/7] 210000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4299s
[d=11 shard 0/7] 215000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4386s
[d=11 shard 0/7] 220000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4468s
[d=11 shard 0/7] 225000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4542s
[d=11 shard 0/7] 230000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4624s
[d=11 shard 0/7] 235000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4707s
[d=11 shard 0/7] 240000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4790s
[d=11 shard 0/7] 245000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4877s
[d=11 shard 0/7] 250000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 4954s
[d=11 shard 0/7] 255000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5037s
[d=11 shard 0/7] 260000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5112s
[d=11 shard 0/7] 265000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5195s
[d=11 shard 0/7] 270000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5272s
[d=11 shard 0/7] 275000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5338s
[d=11 shard 0/7] 280000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5403s
[d=11 shard 0/7] 285000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5466s
[d=11 shard 0/7] 290000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5527s
[d=11 shard 0/7] 295000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5584s
[d=11 shard 0/7] 300000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5630s
[d=11 shard 0/7] 305000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5677s
[d=11 shard 0/7] 310000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5724s
[d=11 shard 0/7] 315000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5771s
[d=11 shard 0/7] 320000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5818s
[d=11 shard 0/7] 325000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5866s
[d=11 shard 0/7] 330000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5914s
[d=11 shard 0/7] 335000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 5963s
[d=11 shard 0/7] 340000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6012s
[d=11 shard 0/7] 345000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6059s
[d=11 shard 0/7] 350000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6105s
[d=11 shard 0/7] 355000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6160s
[d=11 shard 0/7] 360000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6220s
[d=11 shard 0/7] 365000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6274s
[d=11 shard 0/7] 370000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6325s
[d=11 shard 0/7] 375000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6380s
[d=11 shard 0/7] 380000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6438s
[d=11 shard 0/7] 385000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6493s
[d=11 shard 0/7] 390000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6544s
[d=11 shard 0/7] 395000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6594s
[d=11 shard 0/7] 400000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6647s
[d=11 shard 0/7] 405000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6701s
[d=11 shard 0/7] 410000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6755s
[d=11 shard 0/7] 415000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6805s
[d=11 shard 0/7] 420000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6849s
[d=11 shard 0/7] 425000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6894s
[d=11 shard 0/7] 430000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6939s
[d=11 shard 0/7] 435000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 6983s
[d=11 shard 0/7] 440000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7027s
[d=11 shard 0/7] 445000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7071s
[d=11 shard 0/7] 450000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7116s
[d=11 shard 0/7] 455000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7159s
[d=11 shard 0/7] 460000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7201s
[d=11 shard 0/7] 465000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7242s
[d=11 shard 0/7] 470000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7284s
[d=11 shard 0/7] 475000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7329s
[d=11 shard 0/7] 480000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7373s
[d=11 shard 0/7] 485000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7415s
[d=11 shard 0/7] 490000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7460s
[d=11 shard 0/7] 495000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7506s
[d=11 shard 0/7] 500000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7551s
[d=11 shard 0/7] 505000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7594s
[d=11 shard 0/7] 510000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7637s
[d=11 shard 0/7] 515000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7677s
[d=11 shard 0/7] 520000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7719s
[d=11 shard 0/7] 525000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7762s
[d=11 shard 0/7] 530000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7803s
[d=11 shard 0/7] 535000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7843s
[d=11 shard 0/7] 540000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7886s
[d=11 shard 0/7] 545000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7928s
[d=11 shard 0/7] 550000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 7971s
[d=11 shard 0/7] 555000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8015s
[d=11 shard 0/7] 560000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8056s
[d=11 shard 0/7] 565000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8100s
[d=11 shard 0/7] 570000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8141s
[d=11 shard 0/7] 575000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8182s
[d=11 shard 0/7] 580000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8222s
[d=11 shard 0/7] 585000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8270s
[d=11 shard 0/7] 590000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8317s
[d=11 shard 0/7] 595000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8363s
[d=11 shard 0/7] 600000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8407s
[d=11 shard 0/7] 605000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8451s
[d=11 shard 0/7] 610000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8498s
[d=11 shard 0/7] 615000/634133 candidates, 5 charge-bound survivors, 5 blocked, 0 predicted bad, elapsed 8540s
