[d=11 shard 6/7] 5000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 134s
[d=11 shard 6/7] 10000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 254s
[d=11 shard 6/7] 15000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 366s
[d=11 shard 6/7] 20000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 472s
[d=11 shard 6/7] 25000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 581s
[d=11 shard 6/7] 30000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 694s
[d=11 shard 6/7] 35000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 799s
[d=11 shard 6/7] 40000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 901s
[d=11 shard 6/7] 45000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1006s
[d=11 shard 6/7] 50000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1117s
[d=11 shard 6/7] 55000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1231s
[d=11 shard 6/7] 60000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1347s
[d=11 shard 6/7] 65000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1469s
[d=11 shard 6/7] 70000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1581s
[d=11 shard 6/7] 75000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1689s
[d=11 shard 6/7] 80000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1757s
[d=11 shard 6/7] 85000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1862s
[d=11 shard 6/7] 90000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 1975s
[d=11 shard 6/7] 95000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2094s
[d=11 shard 6/7] 100000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2213s
[d=11 shard 6/7] 105000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2330s
[d=11 shard 6/7] 110000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2440s
[d=11 shard 6/7] 115000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2542s
[d=11 shard 6/7] 120000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2683s
[d=11 shard 6/7] 125000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2792s
[d=11 shard 6/7] 130000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2899s
[d=11 shard 6/7] 135000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 2997s
[d=11 shard 6/7] 140000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3100s
[d=11 shard 6/7] 145000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3194s
[d=11 shard 6/7] 150000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3262s
[d=11 shard 6/7] 155000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3340s
[d=11 shard 6/7] 160000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3408s
[d=11 shard 6/7] 165000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3467s
[d=11 shard 6/7] 170000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3527s
[d=11 shard 6/7] 175000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3587s
[d=11 shard 6/7] 180000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3647s
[d=11 shard 6/7] 185000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3751s
[d=11 shard 6/7] 190000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3857s
[d=11 shard 6/7] 195000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 3960s
[d=11 shard 6/7] 200000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4070s
[d=11 shard 6/7] 205000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4188s
[d=11 shard 6/7] 210000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4303s
[d=11 shard 6/7] 215000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4389s
[d=11 shard 6/7] 220000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4471s
[d=11 shard 6/7] 225000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4545s
[d=11 shard 6/7] 230000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4626s
[d=11 shard 6/7] 235000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4709s
[d=11 shard 6/7] 240000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4792s
[d=11 shard 6/7] 245000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4879s
[d=11 shard 6/7] 250000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 4957s
[d=11 shard 6/7] 255000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5039s
[d=11 shard 6/7] 260000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5116s
[d=11 shard 6/7] 265000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5196s
[d=11 shard 6/7] 270000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5273s
[d=11 shard 6/7] 275000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5339s
[d=11 shard 6/7] 280000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5404s
[d=11 shard 6/7] 285000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5466s
[d=11 shard 6/7] 290000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5528s
[d=11 shard 6/7] 295000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5585s
[d=11 shard 6/7] 300000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5631s
[d=11 shard 6/7] 305000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5677s
[d=11 shard 6/7] 310000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5725s
[d=11 shard 6/7] 315000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5772s
[d=11 shard 6/7] 320000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5819s
[d=11 shard 6/7] 325000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5867s
[d=11 shard 6/7] 330000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5915s
[d=11 shard 6/7] 335000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 5964s
[d=11 shard 6/7] 340000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 6013s
[d=11 shard 6/7] 345000/634132 candidates, 5 charge-bound survivors, 3 blocked, 2 predicted bad, elapsed 6059s
