[d=11 shard 1/7] 5000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 135s
[d=11 shard 1/7] 10000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 255s
[d=11 shard 1/7] 15000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 365s
[d=11 shard 1/7] 20000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 472s
[d=11 shard 1/7] 25000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 581s
[d=11 shard 1/7] 30000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 694s
[d=11 shard 1/7] 35000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 798s
[d=11 shard 1/7] 40000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 898s
[d=11 shard 1/7] 45000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1003s
[d=11 shard 1/7] 50000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1115s
[d=11 shard 1/7] 55000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1228s
[d=11 shard 1/7] 60000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1344s
[d=11 shard 1/7] 65000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1463s
[d=11 shard 1/7] 70000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1577s
[d=11 shard 1/7] 75000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1684s
[d=11 shard 1/7] 80000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1751s
[d=11 shard 1/7] 85000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1855s
[d=11 shard 1/7] 90000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 1969s
[d=11 shard 1/7] 95000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 2087s
[d=11 shard 1/7] 100000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 2206s
[d=11 shard 1/7] 105000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 2323s
[d=11 shard 1/7] 110000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 2433s
[d=11 shard 1/7] 115000/634132 candidates, 6 charge-bound survivors, 4 blocked, 2 predicted bad, elapsed 2535s
