config,combo_count,wheel_count,cartwheel_first_count
D0311,0,0,1000
D0312,0,0,304
D0313,0,0,121
D0314,0,0,110
D0315,0,0,506
D0316,0,0,1703
D0317,0,0,2440
D0318,0,0,1075
D0319,0,0,729
D0320,0,0,2092
D0321,0,0,1934
D0322,0,0,120
D0323,0,0,356
D0324,0,0,596
D0325,0,0,1083
D0326,0,0,534
D0327,0,0,710
D0328,0,0,2219
D0329,0,0,646
D0330,0,0,933
D0331,88,0,1649
D0332,148,0,662
D0333,0,0,2202
D0334,0,0,1645
D0335,0,0,452
D0336,0,0,4160
D0337,0,0,2447
D0338,0,0,470
D0339,0,0,842
D0340,0,0,5548
D0341,0,0,2136
D0342,0,0,998
D0343,0,0,87
D0344,4,0,551
D0345,0,0,1128
D0346,0,0,2061
D0347,0,0,140
D0348,0,0,393
D0349,0,0,49
D0350,0,0,32
D0351,0,0,323
D0352,0,0,193
D0353,0,0,123
D0354,0,0,146
D0355,0,0,63
D0356,0,0,965
D0357,0,0,243
D0358,0,0,43
D0359,0,0,68
D0360,0,0,92
D0361,0,0,668
D0362,0,0,189
D0363,0,0,82
D0364,0,0,153
D0365,0,0,240
D0366,0,0,203
D0367,0,0,396
D0368,0,0,126
D0369,0,0,171
D0370,0,0,539
D0371,0,0,917
D0372,0,0,301
D0373,0,0,165
D0374,0,0,96
D0375,0,0,80
D0376,0,0,706
D0377,0,0,242
D0378,0,0,207
D0379,0,0,10
D0380,0,0,17
D0381,8,0,274
D0382,0,0,72
D0383,0,0,695
D0384,0,0,1144
D0385,0,0,377
D0386,0,0,1797
D0387,0,0,628
D0388,0,0,163
D0389,0,0,403
D0390,0,0,389
D0391,0,0,154
D0392,0,0,172
D0393,0,0,125
D0394,0,0,230
D0395,0,0,63
D0396,0,0,86
D0397,0,0,125
D0398,0,0,416
D0399,0,0,57
D0400,0,0,30
D0401,0,0,33
D0402,0,0,59
D0403,0,0,67
D0404,0,0,48
D0405,0,0,54
D0406,0,0,42
D0407,0,0,42
D0408,0,0,39
D0409,0,0,132
D0410,0,0,45
D0411,0,0,72
D0412,0,0,74
D0413,0,0,86
D0414,0,0,1435
D0415,0,0,4342
D0416,0,0,45
D0417,0,0,101
D0418,0,0,18
D0419,0,0,103
D0420,0,0,93
D0421,0,0,292
D0422,0,0,2058
D0423,0,0,1566
D0424,0,0,1314
D0425,0,0,684
D0426,0,0,138
D0427,0,0,284
D0428,0,0,189
D0429,0,0,438
D0430,0,0,57
D0431,0,0,286
D0432,0,0,603
D0433,0,0,626
D0434,0,0,550
D0435,0,0,1353
D0436,0,0,147
D0437,0,0,443
D0438,0,0,2330
D0439,0,0,333
D0440,0,0,76
D0441,0,0,538
D0442,0,0,2670
D0443,0,0,1497
D0444,0,0,544
D0445,0,0,555
D0446,0,0,104
D0447,0,0,145
D0448,0,0,181
D0449,0,0,177
D0450,0,0,370
D0451,0,0,1224
D0452,0,0,98
D0453,0,0,86
D0454,0,0,365
D0455,0,0,794
D0456,0,0,40
D0457,0,0,51
D0458,0,0,910
D0459,0,0,680
D0460,0,0,96
D0461,0,0,79
D0462,0,0,198
D0463,0,0,1017
D0464,0,0,1348
D0465,0,0,280
D0466,0,0,1100
D0467,0,0,1041
D0468,0,0,344
D0469,0,0,940
D0470,0,0,456
D0471,0,0,29
D0472,0,0,1462
D0473,0,0,481
D0474,0,0,1651
D0475,0,0,520
D0476,0,0,139
D0477,0,0,105
D0478,0,0,856
D0479,0,0,911
D0480,0,0,1097
D0481,8,0,1480
D0482,0,0,381
D0483,0,0,452
D0484,0,0,65
D0485,0,0,194
D0486,0,0,788
D0487,0,0,1914
D0488,0,0,87
D0489,0,0,844
D0490,0,0,325
D0491,0,0,429
D0492,0,0,383
D0493,0,0,433
D0494,0,0,493
D0495,0,0,313
D0496,0,0,1157
D0497,8,0,548
D0498,0,0,198
D0499,0,0,744
D0500,0,0,312
D0501,0,0,948
D0502,0,0,434
D0503,0,0,339
D0504,0,0,97
D0505,0,0,75
D0506,0,0,586
D0507,0,0,1021
D0508,0,0,190
D0509,0,0,84
D0510,0,0,138
D0511,0,0,1258
D0512,0,0,186
D0513,0,0,150
D0514,20,0,368
D0515,0,0,231
D0516,0,0,242
D0517,0,0,1322
D0518,0,0,599
D0519,0,0,228
D0520,0,0,433
D0521,0,0,116
D0522,0,0,72
D0523,0,0,176
D0524,0,0,6
D0525,0,0,9
D0526,0,0,102
D0527,0,0,133
D0528,0,0,42
D0529,0,0,59
D0530,0,0,166
D0531,0,0,133
D0532,0,0,32
D0533,0,0,12
D0534,0,0,80
D0535,0,0,139
D0536,0,0,94
D0537,0,0,278
D0538,0,0,216
D0539,0,0,19
D0540,0,0,178
D0541,0,0,95
D0542,0,0,153
D0543,0,0,23
D0544,0,0,12
D0545,12,0,883
D0546,0,0,159
D0547,0,0,161
D0548,0,0,21
D0549,0,0,13
D0550,0,0,62
D0551,8,0,662
D0552,0,0,53
D0553,0,0,30
D0554,0,0,37
D0555,0,0,114
D0556,0,0,242
D0557,0,0,121
D0558,0,0,108
D0559,0,0,107
D0560,0,0,161
D0561,0,0,199
D0562,0,0,164
D0563,0,0,152
D0564,0,0,106
D0565,0,0,112
D0566,0,0,49
D0567,0,0,20
D0568,0,0,16
D0569,0,0,36
D0570,0,0,30
D0571,0,0,27
D0572,0,0,21
D0573,0,0,26
D0574,0,0,36
D0575,0,0,24
D0576,0,0,21
D0577,0,0,21
D0578,0,0,34
D0579,0,0,36
D0580,0,0,61
D0581,0,0,16
D0582,0,0,100
D0583,0,0,347
D0584,0,0,287
D0585,0,0,2049
D0586,0,0,137
D0587,0,0,595
D0588,0,0,2918
D0589,0,0,96
D0590,0,0,40
D0591,0,0,54
D0592,0,0,9016
D0593,0,0,1994
D0594,0,0,1151
D0595,0,0,75
D0596,0,0,32
D0597,0,0,209
D0598,0,0,139
D0599,0,0,460
D0600,0,0,647
D0601,0,0,328
D0602,0,0,2214
D0603,0,0,851
D0604,0,0,315
D0605,0,0,674
D0606,0,0,1106
D0607,0,0,771
D0608,0,0,2162
D0609,0,0,2174
D0610,0,0,1164
D0611,16,0,481
D0612,0,0,329
D0613,0,0,237
D0614,0,0,87
D0615,0,0,388
D0616,0,0,96
D0617,0,0,63
D0618,0,0,335
D0619,0,0,340
D0620,0,0,3
D0621,0,0,75
D0622,0,0,462
D0623,0,0,251
D0624,0,0,88
D0625,0,0,220
D0626,0,0,109
D0627,0,0,32
D0628,0,0,210
D0629,0,0,56
D0630,0,0,258
D0631,0,0,27
D0632,20,0,67
D0633,0,0,72
D0634,0,0,528
D0635,0,0,187
D0636,0,0,66
D0637,0,0,38
D0638,0,0,257
D0639,0,0,234
D0640,0,0,98
D0641,0,0,0
D0642,0,0,456
D0643,0,0,51
D0644,0,0,231
D0645,0,0,103
D0646,0,0,285
D0647,0,0,84
D0648,0,0,239
D0649,0,0,513
D0650,0,0,41
D0651,0,0,58
D0652,0,0,174
D0653,0,0,280
D0654,0,0,473
D0655,0,0,557
D0656,0,0,127
D0657,0,0,113
D0658,0,0,350
D0659,0,0,86
D0660,0,0,43
D0661,0,0,44
D0662,0,0,268
D0663,0,0,765
D0664,0,0,230
D0665,0,0,190
D0666,0,0,170
D0667,0,0,531
D0668,0,0,192
D0669,0,0,330
D0670,0,0,106
D0671,0,0,234
D0672,0,0,323
D0673,0,0,116
D0674,0,0,664
D0675,0,0,327
D0676,0,0,198
D0677,0,0,237
D0678,0,0,618
D0679,0,0,1496
D0680,0,0,448
D0681,0,0,28
D0682,0,0,112
D0683,0,0,165
D0684,0,0,424
D0685,0,0,126
D0686,0,0,103
D0687,0,0,301
D0688,0,0,124
D0689,0,0,115
D0690,0,0,340
D0691,0,0,280
D0692,8,0,1361
D0693,0,0,106
D0694,0,0,153
D0695,0,0,136
D0696,0,0,1047
D0697,0,0,88
D0698,0,0,6
D0699,0,0,29
D0700,0,0,18
D0701,0,0,16
D0702,0,0,10
D0703,0,0,39
D0704,0,0,11
D0705,0,0,137
D0706,0,0,115
D0707,0,0,57
D0708,0,0,6
D0709,0,0,13
D0710,0,0,175
D0711,0,0,83
D0712,0,0,36
D0713,0,0,65
D0714,0,0,19
D0715,0,0,24
D0716,0,0,79
D0717,0,0,69
D0718,0,0,16
D0719,0,0,21
D0720,0,0,38
D0721,0,0,22
D0722,0,0,24
D0723,0,0,129
D0724,0,0,337
D0725,0,0,44
D0726,0,0,968
D0727,0,0,429
D0728,0,0,72
D0729,0,0,7
D0730,0,0,559
D0731,0,0,412
D0732,0,0,123
D0733,0,0,14
D0734,0,0,11
D0735,0,0,196
D0736,0,0,731
D0737,0,0,1074
D0738,0,0,272
D0739,0,0,0
D0740,0,0,230
D0741,0,0,68
D0742,0,0,299
D0743,0,0,0
D0744,0,0,24
D0745,0,0,121
D0746,0,0,282
D0747,0,0,563
D0748,0,0,124
D0749,0,0,376
D0750,0,0,1725
D0751,0,0,1115
D0752,0,0,224
D0753,0,0,5
D0754,0,0,80
D0755,0,0,203
D0756,0,0,234
D0757,0,0,73
D0758,0,0,8
D0759,0,0,178
D0760,0,0,83
D0761,0,0,207
D0762,0,0,181
D0763,0,0,74
D0764,0,0,15
D0765,0,0,36
D0766,0,0,21
D0767,0,0,117
D0768,0,0,254
D0769,0,0,54
D0770,0,0,170
D0771,0,0,46
D0772,0,0,1
D0773,0,0,20
D0774,0,0,37
D0775,0,0,93
D0776,0,0,75
D0777,0,0,84
D0778,0,0,24
D0779,0,0,42
D0780,0,0,24
D0781,0,0,33
D0782,0,0,174
D0783,0,0,16
D0784,0,0,1234
D0785,0,0,151
D0786,0,0,87
D0787,0,0,48
D0788,0,0,378
D0789,0,0,285
D0790,0,0,173
D0791,0,0,131
