config,combo_count,wheel_count,cartwheel_first_count,glue_count
D0257,0,0,151,0
D0258,0,0,83,0
D0259,0,0,507,0
D0260,0,0,57,0
D0261,0,0,47,0
D0262,0,0,590,0
D0263,0,0,172,0
D0264,0,0,460,0
D0265,0,0,41,0
D0266,0,0,115,0
D0267,0,0,58,0
D0268,0,0,497,36
D0269,0,0,38,0
D0270,21,0,5787,282
D0271,0,0,363,0
D0272,0,0,4630,82647
D0273,0,0,8926,1799
D0274,0,0,343,295
D0275,0,0,7087,300
D0276,0,0,3784,418
D0277,0,0,2359,130
D0278,0,0,5989,159
D0279,0,0,651,213
D0280,0,0,810,495
D0281,0,0,674,540
D0282,0,0,260,0
D0283,0,0,219,1
D0284,0,0,84,0
D0285,0,0,241,0
D0286,0,0,1136,582
D0287,0,0,2782,57462
D0288,0,0,171,0
D0289,0,0,132,0
D0290,0,0,595,31
D0291,0,0,2052,323104
D0292,0,0,249,0
D0293,0,0,365,6
D0294,0,0,348,0
D0295,0,0,231,2
D0296,0,0,152,10
D0297,0,0,1168,115
D0298,0,0,606,12
D0299,0,0,72,16
D0300,0,0,2156,1206
D0301,0,0,1873,20856
D0302,0,0,66,0
D0303,0,0,39,0
D0304,0,0,121,0
D0305,0,0,144,0
D0306,0,0,1360,16
D0307,0,0,3349,85
D0308,0,0,18,2
D0309,0,0,41,190
D0310,0,0,770,42
D0311,0,0,1000,44
D0312,0,0,304,3
D0313,0,0,121,6
D0314,0,0,110,0
D0315,0,0,506,8
D0316,0,0,1703,162
D0317,0,0,2440,3406
D0318,0,0,1075,70
D0319,0,0,729,0
D0320,0,0,2092,433
D0321,0,0,1934,2801
D0322,0,0,120,1
D0323,0,0,356,0
D0324,0,0,596,0
D0325,0,0,1083,45
D0326,0,0,534,13
D0327,0,0,710,62
D0328,0,0,2219,50
D0329,0,0,646,4
D0330,0,0,933,0
D0331,88,0,1649,12
D0332,148,0,662,0
D0333,0,0,2202,0
D0334,0,0,1645,4
D0335,0,0,452,0
D0336,0,0,4160,49
D0337,0,0,2447,2061
D0338,0,0,470,0
D0339,0,0,842,6
D0340,0,0,5548,2885
D0341,0,0,2136,185
D0342,0,0,998,37
D0343,0,0,87,0
D0344,4,0,551,2
D0345,0,0,1128,0
D0346,0,0,2061,0
D0347,0,0,140,0
D0348,0,0,393,42
D0349,0,0,49,0
D0350,0,0,32,22
D0351,0,0,323,42
D0352,0,0,193,0
D0353,0,0,123,0
D0354,0,0,146,0
D0355,0,0,63,0
D0356,0,0,965,1969
D0357,0,0,243,1
D0358,0,0,43,0
D0359,0,0,68,0
D0360,0,0,92,1863
D0361,0,0,668,13
D0362,0,0,189,0
D0363,0,0,82,15
D0364,0,0,153,0
D0365,0,0,240,60
D0366,0,0,203,0
D0367,0,0,396,0
D0368,0,0,126,2
D0369,0,0,171,0
D0370,0,0,539,22
D0371,0,0,917,9
D0372,0,0,301,9
D0373,0,0,165,0
D0374,0,0,96,2
D0375,0,0,80,0
D0376,0,0,706,658
D0377,0,0,242,156
D0378,0,0,207,0
D0379,0,0,10,0
D0380,0,0,17,0
D0381,8,0,274,48
D0382,0,0,72,18
D0383,0,0,695,22919
D0384,0,0,1144,0
D0385,0,0,377,61
D0386,0,0,1797,82
D0387,0,0,628,0
D0388,0,0,163,32
D0389,0,0,403,3
D0390,0,0,389,15
D0391,0,0,154,0
D0392,0,0,172,1
D0393,0,0,125,4
D0394,0,0,230,0
D0395,0,0,63,6626
D0396,0,0,86,0
D0397,0,0,125,0
D0398,0,0,416,18
D0399,0,0,57,391
D0400,0,0,30,0
D0401,0,0,33,0
D0402,0,0,59,18
D0403,0,0,67,5645
D0404,0,0,48,0
D0405,0,0,54,60
D0406,0,0,42,0
D0407,0,0,42,0
D0408,0,0,39,131
D0409,0,0,132,62
D0410,0,0,45,3
D0411,0,0,72,0
D0412,0,0,74,0
D0413,0,0,86,4
D0414,0,0,1435,580
D0415,0,0,4342,19244
D0416,0,0,45,0
D0417,0,0,101,0
D0418,0,0,18,60
D0419,0,0,103,317
D0420,0,0,93,0
D0421,0,0,292,4
D0422,0,0,2058,386
D0423,0,0,1566,200
D0424,0,0,1314,18
D0425,0,0,684,119
D0426,0,0,138,3
D0427,0,0,284,0
D0428,0,0,189,0
D0429,0,0,438,0
D0430,0,0,57,0
D0431,0,0,286,0
D0432,0,0,603,0
D0433,0,0,626,2
D0434,0,0,550,112
D0435,0,0,1353,278
D0436,0,0,147,0
D0437,0,0,443,0
D0438,0,0,2330,51
D0439,0,0,333,81
D0440,0,0,76,0
D0441,0,0,538,0
D0442,0,0,2670,7691
D0443,0,0,1497,18
D0444,0,0,544,2
D0445,0,0,555,0
D0446,0,0,104,0
D0447,0,0,145,0
D0448,0,0,181,0
D0449,0,0,177,0
D0450,0,0,370,12
D0451,0,0,1224,10
D0452,0,0,98,0
D0453,0,0,86,0
D0454,0,0,365,4493
D0455,0,0,794,21
D0456,0,0,40,0
D0457,0,0,51,0
D0458,0,0,910,107
D0459,0,0,680,1
D0460,0,0,96,0
D0461,0,0,79,0
D0462,0,0,198,138
D0463,0,0,1017,0
D0464,0,0,1348,0
D0465,0,0,280,0
D0466,0,0,1100,6
D0467,0,0,1041,0
D0468,0,0,344,2
D0469,0,0,940,32
D0470,0,0,456,0
D0471,0,0,29,0
D0472,0,0,1462,24
D0473,0,0,481,58
D0474,0,0,1651,281
D0475,0,0,520,218
D0476,0,0,139,0
D0477,0,0,105,2
D0478,0,0,856,1349
D0479,0,0,911,2
D0480,0,0,1097,104
D0481,8,0,1480,361
D0482,0,0,381,0
D0483,0,0,452,0
D0484,0,0,65,0
D0485,0,0,194,0
D0486,0,0,788,0
D0487,0,0,1914,114
D0488,0,0,87,0
D0489,0,0,844,0
D0490,0,0,325,50
D0491,0,0,429,20
D0492,0,0,383,4
D0493,0,0,433,0
D0494,0,0,493,0
D0495,0,0,313,0
D0496,0,0,1157,0
D0497,8,0,548,100
D0498,0,0,198,2
D0499,0,0,744,0
D0500,0,0,312,0
D0501,0,0,948,44
D0502,0,0,434,0
D0503,0,0,339,0
D0504,0,0,97,0
D0505,0,0,75,0
D0506,0,0,586,309
D0507,0,0,1021,9284
D0508,0,0,190,0
D0509,0,0,84,0
D0510,0,0,138,2
D0511,0,0,1258,382
D0512,0,0,186,0
D0513,0,0,150,0
D0514,20,0,368,0
D0515,0,0,231,2
D0516,0,0,242,0
D0517,0,0,1322,0
D0518,0,0,599,0
D0519,0,0,228,0
D0520,0,0,433,0
D0521,0,0,116,65
D0522,0,0,72,0
D0523,0,0,176,132
D0524,0,0,6,0
D0525,0,0,9,0
D0526,0,0,102,5
D0527,0,0,133,168
D0528,0,0,42,0
D0529,0,0,59,0
D0530,0,0,166,0
D0531,0,0,133,6
D0532,0,0,32,2
D0533,0,0,12,0
D0534,0,0,80,0
D0535,0,0,139,0
D0536,0,0,94,0
D0537,0,0,278,11
D0538,0,0,216,65
D0539,0,0,19,0
D0540,0,0,178,0
D0541,0,0,95,0
D0542,0,0,153,0
D0543,0,0,23,0
D0544,0,0,12,0
D0545,12,0,883,8
D0546,0,0,159,893
D0547,0,0,161,0
D0548,0,0,21,0
D0549,0,0,13,0
D0550,0,0,62,10889
D0551,8,0,662,28
D0552,0,0,53,0
D0553,0,0,30,0
D0554,0,0,37,0
D0555,0,0,114,0
D0556,0,0,242,5
D0557,0,0,121,12
D0558,0,0,108,8
D0559,0,0,107,0
D0560,0,0,161,0
D0561,0,0,199,0
D0562,0,0,164,0
D0563,0,0,152,0
D0564,0,0,106,0
D0565,0,0,112,0
D0566,0,0,49,86
D0567,0,0,20,56
D0568,0,0,16,0
D0569,0,0,36,0
D0570,0,0,30,0
D0571,0,0,27,89
D0572,0,0,21,0
D0573,0,0,26,0
D0574,0,0,36,0
D0575,0,0,24,4
D0576,0,0,21,0
D0577,0,0,21,8
D0578,0,0,34,0
D0579,0,0,36,0
D0580,0,0,61,0
D0581,0,0,16,0
D0582,0,0,100,0
D0583,0,0,347,0
D0584,0,0,287,0
D0585,0,0,2049,622
D0586,0,0,137,0
D0587,0,0,595,0
D0588,0,0,2918,10
D0589,0,0,96,55
D0590,0,0,40,0
D0591,0,0,54,0
D0592,0,0,9016,1
D0593,0,0,1994,0
D0594,0,0,1151,0
D0595,0,0,75,0
D0596,0,0,32,0
D0597,0,0,209,0
D0598,0,0,139,0
D0599,0,0,460,0
D0600,0,0,647,0
D0601,0,0,328,0
D0602,0,0,2214,123
D0603,0,0,851,18
D0604,0,0,315,24
D0605,0,0,674,6
D0606,0,0,1106,0
D0607,0,0,771,0
D0608,0,0,2162,36
D0609,0,0,2174,0
D0610,0,0,1164,0
D0611,16,0,481,0
D0612,0,0,329,238
D0613,0,0,237,4
D0614,0,0,87,523
D0615,0,0,388,0
D0616,0,0,96,0
D0617,0,0,63,0
D0618,0,0,335,364
D0619,0,0,340,0
D0620,0,0,3,0
D0621,0,0,75,0
D0622,0,0,462,424
D0623,0,0,251,0
D0624,0,0,88,0
D0625,0,0,220,0
D0626,0,0,109,0
D0627,0,0,32,0
D0628,0,0,210,0
D0629,0,0,56,1
D0630,0,0,258,0
D0631,0,0,27,0
D0632,20,0,67,0
D0633,0,0,72,0
D0634,0,0,528,11
D0635,0,0,187,0
D0636,0,0,66,0
D0637,0,0,38,0
D0638,0,0,257,836
D0639,0,0,234,4
D0640,0,0,98,0
D0641,0,0,0,0
D0642,0,0,456,12
D0643,0,0,51,54
D0644,0,0,231,0
D0645,0,0,103,0
D0646,0,0,285,0
D0647,0,0,84,0
D0648,0,0,239,4
D0649,0,0,513,0
D0650,0,0,41,0
D0651,0,0,58,0
D0652,0,0,174,2
D0653,0,0,280,0
D0654,0,0,473,7
D0655,0,0,557,60
D0656,0,0,127,0
D0657,0,0,113,20
D0658,0,0,350,40
D0659,0,0,86,0
D0660,0,0,43,0
D0661,0,0,44,0
D0662,0,0,268,0
D0663,0,0,765,4
D0664,0,0,230,88
D0665,0,0,190,334
D0666,0,0,170,2
D0667,0,0,531,0
D0668,0,0,192,6
D0669,0,0,330,0
D0670,0,0,106,0
D0671,0,0,234,0
D0672,0,0,323,0
D0673,0,0,116,0
D0674,0,0,664,0
D0675,0,0,327,97
D0676,0,0,198,0
D0677,0,0,237,0
D0678,0,0,618,0
D0679,0,0,1496,1177
D0680,0,0,448,283
D0681,0,0,28,0
D0682,0,0,112,12
D0683,0,0,165,0
D0684,0,0,424,0
D0685,0,0,126,0
D0686,0,0,103,0
D0687,0,0,301,0
D0688,0,0,124,0
D0689,0,0,115,0
D0690,0,0,340,3
D0691,0,0,280,40
D0692,8,0,1361,6
D0693,0,0,106,2
D0694,0,0,153,0
D0695,0,0,136,0
D0696,0,0,1047,1432
D0697,0,0,88,0
D0698,0,0,6,0
D0699,0,0,29,170
D0700,0,0,18,0
D0701,0,0,16,0
D0702,0,0,10,15
D0703,0,0,39,0
D0704,0,0,11,0
D0705,0,0,137,0
D0706,0,0,115,1140
D0707,0,0,57,4
D0708,0,0,6,0
D0709,0,0,13,0
D0710,0,0,175,2
D0711,0,0,83,300
D0712,0,0,36,0
D0713,0,0,65,0
D0714,0,0,19,0
D0715,0,0,24,4
D0716,0,0,79,0
D0717,0,0,69,0
D0718,0,0,16,0
D0719,0,0,21,0
D0720,0,0,38,0
D0721,0,0,22,8
D0722,0,0,24,20
D0723,0,0,129,0
D0724,0,0,337,0
D0725,0,0,44,0
D0726,0,0,968,43
D0727,0,0,429,0
D0728,0,0,72,0
D0729,0,0,7,0
D0730,0,0,559,0
D0731,0,0,412,0
D0732,0,0,123,0
D0733,0,0,14,0
D0734,0,0,11,0
D0735,0,0,196,0
D0736,0,0,731,0
D0737,0,0,1074,0
D0738,0,0,272,0
D0739,0,0,0,0
D0740,0,0,230,0
D0741,0,0,68,0
D0742,0,0,299,0
D0743,0,0,0,8
D0744,0,0,24,0
D0745,0,0,121,0
D0746,0,0,282,0
D0747,0,0,563,3
D0748,0,0,124,0
D0749,0,0,376,0
D0750,0,0,1725,0
D0751,0,0,1115,35
D0752,0,0,224,18
D0753,0,0,5,0
D0754,0,0,80,0
D0755,0,0,203,0
D0756,0,0,234,22
D0757,0,0,73,0
D0758,0,0,8,0
D0759,0,0,178,6
D0760,0,0,83,0
D0761,0,0,207,48
D0762,0,0,181,102
D0763,0,0,74,0
D0764,0,0,15,0
D0765,0,0,36,0
D0766,0,0,21,79
D0767,0,0,117,7
D0768,0,0,254,0
D0769,0,0,54,0
D0770,0,0,170,0
D0771,0,0,46,1
D0772,0,0,1,0
D0773,0,0,20,0
D0774,0,0,37,8
D0775,0,0,93,0
D0776,0,0,75,0
D0777,0,0,84,0
D0778,0,0,24,0
D0779,0,0,42,0
D0780,0,0,24,0
D0781,0,0,33,0
D0782,0,0,174,20
D0783,0,0,16,0
D0784,0,0,1234,72
D0785,0,0,151,0
D0786,0,0,87,0
D0787,0,0,48,0
D0788,0,0,378,0
D0789,0,0,285,0
D0790,0,0,173,0
D0791,0,0,131,0
D0792,0,0,532,22
D0793,0,0,879,39
D0794,0,0,160,0
D0795,0,0,22,0
D0796,0,0,11,0
D0797,0,0,11,0
D0798,0,0,85,54
D0799,0,0,1,0
D0800,0,0,213,0
D0801,0,0,3249,124
D0802,0,0,1860,2492
D0803,0,0,9435,57448
D0804,0,0,1331,266
D0805,0,0,528,821
D0806,0,0,212,12
D0807,0,0,304,4
D0808,0,0,63,22
D0809,0,0,1770,931
D0810,0,0,179,0
D0811,0,0,28,73
D0812,0,0,79,119
D0813,0,0,100,403
D0814,0,0,105,0
D0815,0,0,710,85428
D0816,0,0,99,0
D0817,0,0,208,0
D0818,0,0,2896,1081
D0819,0,0,1404,8107
D0820,0,0,165,0
D0821,0,0,40,0
D0822,0,0,58,404
D0823,0,0,643,253
D0824,0,0,2033,659
D0825,0,0,441,287
D0826,0,0,752,33
D0827,0,0,191,0
D0828,0,0,1088,67
D0829,0,0,1960,334
D0830,0,0,633,70
D0831,0,0,239,63
D0832,0,0,223,12
D0833,0,0,2350,116
D0834,0,0,929,171
D0835,0,0,1093,852
D0836,0,0,359,0
D0837,0,0,22,0
D0838,0,0,1139,423
D0839,0,0,6862,2750
D0840,0,0,162,4
D0841,0,0,202,0
D0842,0,0,4052,10522
D0843,0,0,1842,46
D0844,0,0,730,145
D0845,0,0,545,47
D0846,0,0,909,142
D0847,0,0,1318,25
D0848,0,0,391,407
D0849,0,0,479,54
D0850,0,0,97,0
D0851,0,0,471,10
D0852,0,0,564,256
D0853,0,0,1067,258
D0854,0,0,6283,60463
D0855,0,0,466,41
D0856,0,0,540,0
D0857,0,0,76,0
D0858,0,0,943,5210
D0859,0,0,512,994
D0860,0,0,136,4
D0861,0,0,6,0
D0862,0,0,356,3133
D0863,0,0,136,200
D0864,0,0,120,47
D0865,0,0,161,19
D0866,0,0,197,0
D0867,0,0,53,10
D0868,0,0,20,20
D0869,0,0,72,206
D0870,0,0,229,4
D0871,0,0,36,0
D0872,0,0,57,112
D0873,0,0,28,18
D0874,0,0,286,621
D0875,0,0,149,1005
D0876,0,0,75,0
D0877,0,0,49,6
D0878,0,0,1231,3482
D0879,0,0,194,143
D0880,0,0,169,0
D0881,0,0,395,1804
D0882,0,0,41,0
D0883,0,0,18,36
D0884,0,0,164,0
D0885,0,0,252,10
D0886,0,0,176,2
D0887,0,0,262,36
D0888,0,0,33,0
D0889,0,0,258,4
D0890,0,0,468,156
D0891,0,0,352,18
D0892,0,0,183,0
D0893,0,0,219,0
D0894,0,0,36,0
D0895,0,0,260,0
D0896,0,0,146,734
D0897,0,0,68,529
D0898,0,0,46,4
D0899,0,0,26,0
D0900,0,0,63,179
D0901,0,0,116,12
D0902,0,0,42,12
D0903,0,0,36,14
D0904,0,0,27,0
D0905,0,0,27,6
D0906,0,0,129,22
D0907,0,0,145,792
D0908,0,0,17,0
D0909,0,0,42,0
D0910,0,0,82,0
D0911,0,0,218,5453
D0912,0,0,33,0
D0913,0,0,24,0
D0914,0,0,101,0
D0915,0,0,65,0
D0916,0,0,150,0
D0917,0,0,112,18
D0918,0,0,45,0
D0919,0,0,166,0
D0920,0,0,615,47
D0921,0,0,2239,171
D0922,0,0,396,0
D0923,0,0,113,0
D0924,0,0,1009,7
D0925,0,0,422,40
D0926,8,0,1504,677
D0927,0,0,1144,123
D0928,0,0,192,4
D0929,0,0,180,0
D0930,0,0,134,135
D0931,0,0,28,51
D0932,0,0,115,0
D0933,0,0,69,0
D0934,0,0,50,0
D0935,0,0,242,0
D0936,0,0,210,0
D0937,0,0,75,4
D0938,0,0,106,12
D0939,0,0,79,12
D0940,0,0,615,4
D0941,0,0,146,4
D0942,0,0,36,0
D0943,0,0,54,0
D0944,0,0,12,0
D0945,0,0,12,0
D0946,0,0,2423,26576
D0947,0,0,679,396
D0948,0,0,209,0
D0949,0,0,32,0
D0950,0,0,1077,1306
D0951,0,0,218,60
D0952,0,0,127,0
D0953,0,0,5,0
D0954,0,0,178,0
D0955,0,0,14,27
D0956,0,0,190,0
D0957,0,0,183,45
D0958,0,0,131,38
D0959,0,0,63,0
D0960,0,0,137,245
D0961,0,0,104,0
D0962,0,0,13,8
D0963,0,0,14,0
D0964,0,0,206,0
D0965,0,0,171,0
D0966,0,0,536,77
D0967,0,0,34,28
D0968,0,0,56,35
D0969,0,0,20,0
D0970,0,0,860,975
D0971,0,0,659,81
D0972,0,0,85,0
D0973,0,0,131,0
D0974,0,0,207,0
D0975,0,0,307,2
D0976,0,0,394,15
D0977,0,0,323,9
D0978,0,0,255,0
D0979,0,0,128,0
D0980,0,0,48,0
D0981,0,0,196,2
D0982,0,0,275,20
D0983,0,0,66,68
D0984,0,0,291,3
D0985,0,0,1108,629
D0986,0,0,38,0
D0987,0,0,244,0
D0988,0,0,655,8
D0989,0,0,112,24
D0990,0,0,30,0
D0991,0,0,48,0
D0992,0,0,486,134
D0993,0,0,172,2825
D0994,0,0,555,0
D0995,0,0,175,10
D0996,0,0,130,20
D0997,0,0,92,18
D0998,0,0,218,24
D0999,0,0,91,74
D1000,0,0,104,0
D1001,0,0,868,12
D1002,0,0,202,12
D1003,0,0,115,0
D1004,0,0,431,0
D1005,0,0,783,715
D1006,0,0,149,0
D1007,0,0,97,0
D1008,0,0,518,22
D1009,0,0,1766,38
D1010,0,0,301,0
D1011,0,0,428,0
D1012,0,0,580,54
D1013,0,0,4177,1042
D1014,0,0,851,71
D1015,0,0,245,0
D1016,0,0,236,8
D1017,0,0,126,0
D1018,0,0,138,0
D1019,0,0,56,20
D1020,0,0,141,0
D1021,0,0,140,0
D1022,0,0,72,0
D1023,0,0,188,6
D1024,0,0,903,84
D1025,0,0,52,146
D1026,0,0,163,0
D1027,0,0,141,0
D1028,0,0,787,0
D1029,0,0,331,357
D1030,0,0,37,0
D1031,0,0,99,0
D1032,0,0,445,309
D1033,0,0,605,307
D1034,0,0,222,0
D1035,0,0,880,84
D1036,0,0,37,0
D1037,0,0,61,0
D1038,0,0,1242,0
D1039,0,0,353,403
D1040,0,0,346,28
D1041,0,0,94,0
D1042,0,0,242,52
D1043,0,0,598,0
D1044,0,0,599,624
D1045,0,0,503,214
D1046,0,0,44,8
D1047,0,0,56,0
D1048,0,0,83,45
D1049,0,0,1162,243
D1050,0,0,31,0
D1051,0,0,68,0
D1052,0,0,1961,869
D1053,0,0,791,25
D1054,0,0,612,0
D1055,0,0,653,2
D1056,0,0,37,0
D1057,0,0,26,0
D1058,8,0,438,111
D1059,0,0,222,0
D1060,0,0,97,16
D1061,0,0,78,0
D1062,0,0,114,0
D1063,0,0,84,24
D1064,0,0,316,719
D1065,0,0,409,225
D1066,0,0,66,0
D1067,0,0,36,0
D1068,0,0,211,9164
D1069,0,0,163,20
D1070,0,0,7,0
D1071,0,0,43,0
D1072,0,0,99,169
D1073,0,0,302,102
D1074,0,0,22,44
D1075,0,0,14,8
D1076,0,0,16,0
D1077,0,0,17,0
D1078,0,0,41,15
D1079,0,0,37,0
D1080,0,0,33,0
D1081,0,0,9,53
D1082,0,0,26,0
D1083,0,0,24,0
D1084,0,0,42,0
D1085,0,0,27,5
D1086,0,0,83,318
D1087,0,0,745,2773
D1088,0,0,61,0
D1089,0,0,35,0
D1090,0,0,47,4
D1091,0,0,174,670
D1092,0,0,52,0
D1093,0,0,37,0
D1094,0,0,20,0
D1095,0,0,67,0
D1096,0,0,76,0
D1097,0,0,126,6
D1098,0,0,62,0
D1099,0,0,97,3
D1100,0,0,252,4
D1101,0,0,315,429
D1102,0,0,34,0
D1103,0,0,8,0
D1104,0,0,85,0
D1105,0,0,72,2
D1106,0,0,62,46
D1107,0,0,141,74
D1108,0,0,44,1
D1109,0,0,71,0
D1110,0,0,328,0
D1111,0,0,108,0
D1112,0,0,51,0
D1113,0,0,207,2
D1114,0,0,45,0
D1115,0,0,73,0
D1116,0,0,131,0
D1117,0,0,435,4848
D1118,0,0,55,0
D1119,0,0,96,2
D1120,0,0,202,249
D1121,0,0,256,296
D1122,0,0,182,2
D1123,0,0,12,0
D1124,0,0,11,1
D1125,0,0,64,34
D1126,0,0,42,0
D1127,0,0,41,170
D1128,0,0,48,4
D1129,0,0,46,24
D1130,0,0,48,20
D1131,0,0,50,40
D1132,0,0,27,18
D1133,0,0,38,0
D1134,0,0,28,0
D1135,0,0,21,0
D1136,0,0,153,4
D1137,0,0,80,65
D1138,0,0,60,0
D1139,0,0,39,0
D1140,0,0,145,40
D1141,0,0,293,98
