[d=9 shard 0/8] 500/27131 candidates, 104 charge-bound survivors, 32 blocked, elapsed 8s
[d=9 shard 0/8] 1000/27131 candidates, 145 charge-bound survivors, 32 blocked, elapsed 12s
[d=9 shard 0/8] 1500/27131 candidates, 151 charge-bound survivors, 33 blocked, elapsed 16s
[d=9 shard 0/8] 2000/27131 candidates, 218 charge-bound survivors, 37 blocked, elapsed 23s
[d=9 shard 0/8] 2500/27131 candidates, 236 charge-bound survivors, 37 blocked, elapsed 28s
[d=9 shard 0/8] 3000/27131 candidates, 239 charge-bound survivors, 37 blocked, elapsed 31s
[d=9 shard 0/8] 3500/27131 candidates, 274 charge-bound survivors, 37 blocked, elapsed 36s
[d=9 shard 0/8] 4000/27131 candidates, 288 charge-bound survivors, 37 blocked, elapsed 42s
[d=9 shard 0/8] 4500/27131 candidates, 289 charge-bound survivors, 37 blocked, elapsed 45s
[d=9 shard 0/8] 5000/27131 candidates, 293 charge-bound survivors, 37 blocked, elapsed 49s
[d=9 shard 0/8] 5500/27131 candidates, 293 charge-bound survivors, 37 blocked, elapsed 53s
[d=9 shard 0/8] 6000/27131 candidates, 293 charge-bound survivors, 37 blocked, elapsed 56s
[d=9 shard 0/8] 6500/27131 candidates, 294 charge-bound survivors, 37 blocked, elapsed 60s
[d=9 shard 0/8] 7000/27131 candidates, 295 charge-bound survivors, 37 blocked, elapsed 63s
[d=9 shard 0/8] 7500/27131 candidates, 317 charge-bound survivors, 38 blocked, elapsed 67s
[d=9 shard 0/8] 8000/27131 candidates, 327 charge-bound survivors, 38 blocked, elapsed 72s
[d=9 shard 0/8] 8500/27131 candidates, 332 charge-bound survivors, 38 blocked, elapsed 76s
[d=9 shard 0/8] 9000/27131 candidates, 336 charge-bound survivors, 38 blocked, elapsed 80s
[d=9 shard 0/8] 9500/27131 candidates, 336 charge-bound survivors, 38 blocked, elapsed 85s
[d=9 shard 0/8] 10000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 89s
[d=9 shard 0/8] 10500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 93s
[d=9 shard 0/8] 11000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 96s
[d=9 shard 0/8] 11500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 100s
[d=9 shard 0/8] 12000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 103s
[d=9 shard 0/8] 12500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 107s
[d=9 shard 0/8] 13000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 110s
[d=9 shard 0/8] 13500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 114s
[d=9 shard 0/8] 14000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 118s
[d=9 shard 0/8] 14500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 122s
[d=9 shard 0/8] 15000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 125s
[d=9 shard 0/8] 15500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 129s
[d=9 shard 0/8] 16000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 133s
[d=9 shard 0/8] 16500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 136s
[d=9 shard 0/8] 17000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 140s
[d=9 shard 0/8] 17500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 143s
[d=9 shard 0/8] 18000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 146s
[d=9 shard 0/8] 18500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 150s
[d=9 shard 0/8] 19000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 153s
[d=9 shard 0/8] 19500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 156s
[d=9 shard 0/8] 20000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 160s
[d=9 shard 0/8] 20500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 214s
[d=9 shard 0/8] 21000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 217s
[d=9 shard 0/8] 21500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 221s
[d=9 shard 0/8] 22000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 224s
[d=9 shard 0/8] 22500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 228s
[d=9 shard 0/8] 23000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 231s
[d=9 shard 0/8] 23500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 234s
[d=9 shard 0/8] 24000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 238s
[d=9 shard 0/8] 24500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 241s
[d=9 shard 0/8] 25000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 245s
[d=9 shard 0/8] 25500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 249s
[d=9 shard 0/8] 26000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 254s
[d=9 shard 0/8] 26500/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 258s
[d=9 shard 0/8] 27000/27131 candidates, 340 charge-bound survivors, 38 blocked, elapsed 263s
[d=9 shard 0/8] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/p2-coverage/wheel_survivors_d9_shard0of8.jsonl
