[d=10 shard 5/8] 500/122111 candidates, 63 charge-bound survivors, 37 blocked, elapsed 23s
[d=10 shard 5/8] 1000/122111 candidates, 77 charge-bound survivors, 37 blocked, elapsed 34s
[d=10 shard 5/8] 1500/122111 candidates, 77 charge-bound survivors, 37 blocked, elapsed 43s
[d=10 shard 5/8] 2000/122111 candidates, 85 charge-bound survivors, 38 blocked, elapsed 52s
[d=10 shard 5/8] 2500/122111 candidates, 85 charge-bound survivors, 38 blocked, elapsed 63s
[d=10 shard 5/8] 3000/122111 candidates, 85 charge-bound survivors, 38 blocked, elapsed 72s
[d=10 shard 5/8] 3500/122111 candidates, 98 charge-bound survivors, 39 blocked, elapsed 85s
[d=10 shard 5/8] 4000/122111 candidates, 103 charge-bound survivors, 39 blocked, elapsed 98s
[d=10 shard 5/8] 4500/122111 candidates, 103 charge-bound survivors, 39 blocked, elapsed 109s
[d=10 shard 5/8] 5000/122111 candidates, 104 charge-bound survivors, 39 blocked, elapsed 120s
[d=10 shard 5/8] 5500/122111 candidates, 104 charge-bound survivors, 39 blocked, elapsed 132s
[d=10 shard 5/8] 6000/122111 candidates, 104 charge-bound survivors, 39 blocked, elapsed 143s
[d=10 shard 5/8] 6500/122111 candidates, 104 charge-bound survivors, 39 blocked, elapsed 155s
[d=10 shard 5/8] 7000/122111 candidates, 104 charge-bound survivors, 39 blocked, elapsed 167s
[d=10 shard 5/8] 7500/122111 candidates, 104 charge-bound survivors, 39 blocked, elapsed 178s
[d=10 shard 5/8] 8000/122111 candidates, 105 charge-bound survivors, 39 blocked, elapsed 189s
[d=10 shard 5/8] 8500/122111 candidates, 111 charge-bound survivors, 39 blocked, elapsed 202s
[d=10 shard 5/8] 9000/122111 candidates, 111 charge-bound survivors, 39 blocked, elapsed 214s
[d=10 shard 5/8] 9500/122111 candidates, 115 charge-bound survivors, 39 blocked, elapsed 257s
[d=10 shard 5/8] 10000/122111 candidates, 119 charge-bound survivors, 39 blocked, elapsed 270s
[d=10 shard 5/8] 10500/122111 candidates, 119 charge-bound survivors, 39 blocked, elapsed 283s
[d=10 shard 5/8] 11000/122111 candidates, 119 charge-bound survivors, 39 blocked, elapsed 372s
[d=10 shard 5/8] 11500/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 387s
[d=10 shard 5/8] 12000/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 399s
[d=10 shard 5/8] 12500/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 411s
[d=10 shard 5/8] 13000/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 1426s
[d=10 shard 5/8] 13500/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 1437s
[d=10 shard 5/8] 14000/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 1449s
[d=10 shard 5/8] 14500/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 1463s
[d=10 shard 5/8] 15000/122111 candidates, 120 charge-bound survivors, 39 blocked, elapsed 1476s
[d=10 shard 5/8] 15500/122111 candidates, 128 charge-bound survivors, 39 blocked, elapsed 1492s
[d=10 shard 5/8] 16000/122111 candidates, 130 charge-bound survivors, 39 blocked, elapsed 1510s
