[d=11 shard 6/8] 500/554865 candidates, 5 charge-bound survivors, 5 blocked, elapsed 37s
[d=11 shard 6/8] 1000/554865 candidates, 5 charge-bound survivors, 5 blocked, elapsed 51s
[d=11 shard 6/8] 1500/554865 candidates, 5 charge-bound survivors, 5 blocked, elapsed 65s
[d=11 shard 6/8] 2000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 81s
[d=11 shard 6/8] 2500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 96s
[d=11 shard 6/8] 3000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 109s
[d=11 shard 6/8] 3500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 119s
[d=11 shard 6/8] 4000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 128s
[d=11 shard 6/8] 4500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1051s
[d=11 shard 6/8] 5000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1055s
[d=11 shard 6/8] 5500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1059s
[d=11 shard 6/8] 6000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1064s
[d=11 shard 6/8] 6500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1068s
[d=11 shard 6/8] 7000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1073s
[d=11 shard 6/8] 7500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1078s
[d=11 shard 6/8] 8000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1083s
[d=11 shard 6/8] 8500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1088s
[d=11 shard 6/8] 9000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1093s
[d=11 shard 6/8] 9500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1099s
[d=11 shard 6/8] 10000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1105s
[d=11 shard 6/8] 10500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1110s
[d=11 shard 6/8] 11000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1116s
[d=11 shard 6/8] 11500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1123s
[d=11 shard 6/8] 12000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1129s
[d=11 shard 6/8] 12500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1135s
[d=11 shard 6/8] 13000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1142s
[d=11 shard 6/8] 13500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1149s
[d=11 shard 6/8] 14000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1155s
[d=11 shard 6/8] 14500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1163s
[d=11 shard 6/8] 15000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1170s
[d=11 shard 6/8] 15500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1178s
[d=11 shard 6/8] 16000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1187s
[d=11 shard 6/8] 16500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1197s
[d=11 shard 6/8] 17000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1206s
[d=11 shard 6/8] 17500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1216s
[d=11 shard 6/8] 18000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1226s
[d=11 shard 6/8] 18500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1236s
[d=11 shard 6/8] 19000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1245s
[d=11 shard 6/8] 19500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1255s
[d=11 shard 6/8] 20000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1264s
[d=11 shard 6/8] 20500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1273s
[d=11 shard 6/8] 21000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1282s
[d=11 shard 6/8] 21500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1292s
[d=11 shard 6/8] 22000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1301s
[d=11 shard 6/8] 22500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1310s
[d=11 shard 6/8] 23000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1320s
[d=11 shard 6/8] 23500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1329s
[d=11 shard 6/8] 24000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1338s
[d=11 shard 6/8] 24500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1347s
[d=11 shard 6/8] 25000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1355s
[d=11 shard 6/8] 25500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1365s
[d=11 shard 6/8] 26000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1373s
[d=11 shard 6/8] 26500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1383s
[d=11 shard 6/8] 27000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1392s
[d=11 shard 6/8] 27500/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1401s
[d=11 shard 6/8] 28000/554865 candidates, 6 charge-bound survivors, 5 blocked, elapsed 1410s
