[d=9 shard 4/8] 500/27131 candidates, 104 charge-bound survivors, 32 blocked, elapsed 7s
[d=9 shard 4/8] 1000/27131 candidates, 143 charge-bound survivors, 32 blocked, elapsed 12s
[d=9 shard 4/8] 1500/27131 candidates, 147 charge-bound survivors, 32 blocked, elapsed 16s
[d=9 shard 4/8] 2000/27131 candidates, 223 charge-bound survivors, 38 blocked, elapsed 23s
[d=9 shard 4/8] 2500/27131 candidates, 241 charge-bound survivors, 38 blocked, elapsed 28s
[d=9 shard 4/8] 3000/27131 candidates, 244 charge-bound survivors, 38 blocked, elapsed 31s
[d=9 shard 4/8] 3500/27131 candidates, 282 charge-bound survivors, 38 blocked, elapsed 37s
[d=9 shard 4/8] 4000/27131 candidates, 297 charge-bound survivors, 38 blocked, elapsed 42s
[d=9 shard 4/8] 4500/27131 candidates, 301 charge-bound survivors, 38 blocked, elapsed 46s
[d=9 shard 4/8] 5000/27131 candidates, 312 charge-bound survivors, 38 blocked, elapsed 50s
[d=9 shard 4/8] 5500/27131 candidates, 312 charge-bound survivors, 38 blocked, elapsed 53s
[d=9 shard 4/8] 6000/27131 candidates, 312 charge-bound survivors, 38 blocked, elapsed 57s
[d=9 shard 4/8] 6500/27131 candidates, 313 charge-bound survivors, 38 blocked, elapsed 60s
[d=9 shard 4/8] 7000/27131 candidates, 313 charge-bound survivors, 38 blocked, elapsed 63s
[d=9 shard 4/8] 7500/27131 candidates, 337 charge-bound survivors, 38 blocked, elapsed 68s
[d=9 shard 4/8] 8000/27131 candidates, 348 charge-bound survivors, 38 blocked, elapsed 72s
[d=9 shard 4/8] 8500/27131 candidates, 351 charge-bound survivors, 38 blocked, elapsed 76s
[d=9 shard 4/8] 9000/27131 candidates, 358 charge-bound survivors, 38 blocked, elapsed 81s
[d=9 shard 4/8] 9500/27131 candidates, 358 charge-bound survivors, 38 blocked, elapsed 86s
[d=9 shard 4/8] 10000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 90s
[d=9 shard 4/8] 10500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 93s
[d=9 shard 4/8] 11000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 97s
[d=9 shard 4/8] 11500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 100s
[d=9 shard 4/8] 12000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 104s
[d=9 shard 4/8] 12500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 107s
[d=9 shard 4/8] 13000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 111s
[d=9 shard 4/8] 13500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 114s
[d=9 shard 4/8] 14000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 118s
[d=9 shard 4/8] 14500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 122s
[d=9 shard 4/8] 15000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 126s
[d=9 shard 4/8] 15500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 129s
[d=9 shard 4/8] 16000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 133s
[d=9 shard 4/8] 16500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 136s
[d=9 shard 4/8] 17000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 140s
[d=9 shard 4/8] 17500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 144s
[d=9 shard 4/8] 18000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 147s
[d=9 shard 4/8] 18500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 150s
[d=9 shard 4/8] 19000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 153s
[d=9 shard 4/8] 19500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 157s
[d=9 shard 4/8] 20000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 162s
[d=9 shard 4/8] 20500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 214s
[d=9 shard 4/8] 21000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 218s
[d=9 shard 4/8] 21500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 221s
[d=9 shard 4/8] 22000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 224s
[d=9 shard 4/8] 22500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 228s
[d=9 shard 4/8] 23000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 231s
[d=9 shard 4/8] 23500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 234s
[d=9 shard 4/8] 24000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 238s
[d=9 shard 4/8] 24500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 241s
[d=9 shard 4/8] 25000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 245s
[d=9 shard 4/8] 25500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 250s
[d=9 shard 4/8] 26000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 254s
[d=9 shard 4/8] 26500/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 258s
[d=9 shard 4/8] 27000/27131 candidates, 359 charge-bound survivors, 38 blocked, elapsed 263s
[d=9 shard 4/8] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/p2-coverage/wheel_survivors_d9_shard4of8.jsonl
