[d=11 shard 5/8] 500/554865 candidates, 6 charge-bound survivors, 6 blocked, elapsed 37s
[d=11 shard 5/8] 1000/554865 candidates, 7 charge-bound survivors, 6 blocked, elapsed 51s
[d=11 shard 5/8] 1500/554865 candidates, 7 charge-bound survivors, 6 blocked, elapsed 64s
[d=11 shard 5/8] 2000/554865 candidates, 9 charge-bound survivors, 8 blocked, elapsed 80s
[d=11 shard 5/8] 2500/554865 candidates, 9 charge-bound survivors, 8 blocked, elapsed 95s
[d=11 shard 5/8] 3000/554865 candidates, 9 charge-bound survivors, 8 blocked, elapsed 108s
[d=11 shard 5/8] 3500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 118s
[d=11 shard 5/8] 4000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 128s
[d=11 shard 5/8] 4500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1050s
[d=11 shard 5/8] 5000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1055s
[d=11 shard 5/8] 5500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1059s
[d=11 shard 5/8] 6000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1064s
[d=11 shard 5/8] 6500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1068s
[d=11 shard 5/8] 7000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1073s
[d=11 shard 5/8] 7500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1077s
[d=11 shard 5/8] 8000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1082s
[d=11 shard 5/8] 8500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1088s
[d=11 shard 5/8] 9000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1093s
[d=11 shard 5/8] 9500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1098s
[d=11 shard 5/8] 10000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1104s
[d=11 shard 5/8] 10500/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1110s
[d=11 shard 5/8] 11000/554865 candidates, 10 charge-bound survivors, 8 blocked, elapsed 1116s
