[d=10 shard 4/8] 500/122111 candidates, 8 charge-bound survivors, 5 blocked, elapsed 19s
[d=10 shard 4/8] 1000/122111 candidates, 30 charge-bound survivors, 12 blocked, elapsed 31s
[d=10 shard 4/8] 1500/122111 candidates, 30 charge-bound survivors, 12 blocked, elapsed 40s
[d=10 shard 4/8] 2000/122111 candidates, 43 charge-bound survivors, 17 blocked, elapsed 51s
[d=10 shard 4/8] 2500/122111 candidates, 44 charge-bound survivors, 17 blocked, elapsed 61s
[d=10 shard 4/8] 3000/122111 candidates, 44 charge-bound survivors, 17 blocked, elapsed 71s
[d=10 shard 4/8] 3500/122111 candidates, 49 charge-bound survivors, 17 blocked, elapsed 83s
[d=10 shard 4/8] 4000/122111 candidates, 54 charge-bound survivors, 17 blocked, elapsed 96s
[d=10 shard 4/8] 4500/122111 candidates, 54 charge-bound survivors, 17 blocked, elapsed 107s
[d=10 shard 4/8] 5000/122111 candidates, 56 charge-bound survivors, 17 blocked, elapsed 119s
[d=10 shard 4/8] 5500/122111 candidates, 56 charge-bound survivors, 17 blocked, elapsed 131s
[d=10 shard 4/8] 6000/122111 candidates, 56 charge-bound survivors, 17 blocked, elapsed 143s
[d=10 shard 4/8] 6500/122111 candidates, 56 charge-bound survivors, 17 blocked, elapsed 154s
[d=10 shard 4/8] 7000/122111 candidates, 56 charge-bound survivors, 17 blocked, elapsed 165s
[d=10 shard 4/8] 7500/122111 candidates, 56 charge-bound survivors, 17 blocked, elapsed 176s
[d=10 shard 4/8] 8000/122111 candidates, 63 charge-bound survivors, 17 blocked, elapsed 189s
[d=10 shard 4/8] 8500/122111 candidates, 66 charge-bound survivors, 17 blocked, elapsed 202s
[d=10 shard 4/8] 9000/122111 candidates, 66 charge-bound survivors, 17 blocked, elapsed 214s
[d=10 shard 4/8] 9500/122111 candidates, 72 charge-bound survivors, 17 blocked, elapsed 257s
[d=10 shard 4/8] 10000/122111 candidates, 72 charge-bound survivors, 17 blocked, elapsed 271s
[d=10 shard 4/8] 10500/122111 candidates, 72 charge-bound survivors, 17 blocked, elapsed 283s
[d=10 shard 4/8] 11000/122111 candidates, 74 charge-bound survivors, 17 blocked, elapsed 372s
[d=10 shard 4/8] 11500/122111 candidates, 74 charge-bound survivors, 17 blocked, elapsed 387s
[d=10 shard 4/8] 12000/122111 candidates, 74 charge-bound survivors, 17 blocked, elapsed 399s
