[d=10 shard 3/8] 500/122111 candidates, 17 charge-bound survivors, 12 blocked, elapsed 19s
[d=10 shard 3/8] 1000/122111 candidates, 20 charge-bound survivors, 13 blocked, elapsed 31s
[d=10 shard 3/8] 1500/122111 candidates, 20 charge-bound survivors, 13 blocked, elapsed 40s
[d=10 shard 3/8] 2000/122111 candidates, 43 charge-bound survivors, 22 blocked, elapsed 50s
[d=10 shard 3/8] 2500/122111 candidates, 46 charge-bound survivors, 22 blocked, elapsed 59s
[d=10 shard 3/8] 3000/122111 candidates, 46 charge-bound survivors, 22 blocked, elapsed 69s
[d=10 shard 3/8] 3500/122111 candidates, 52 charge-bound survivors, 23 blocked, elapsed 81s
[d=10 shard 3/8] 4000/122111 candidates, 53 charge-bound survivors, 23 blocked, elapsed 93s
[d=10 shard 3/8] 4500/122111 candidates, 53 charge-bound survivors, 23 blocked, elapsed 105s
[d=10 shard 3/8] 5000/122111 candidates, 54 charge-bound survivors, 24 blocked, elapsed 116s
[d=10 shard 3/8] 5500/122111 candidates, 54 charge-bound survivors, 24 blocked, elapsed 128s
[d=10 shard 3/8] 6000/122111 candidates, 54 charge-bound survivors, 24 blocked, elapsed 140s
[d=10 shard 3/8] 6500/122111 candidates, 54 charge-bound survivors, 24 blocked, elapsed 151s
[d=10 shard 3/8] 7000/122111 candidates, 54 charge-bound survivors, 24 blocked, elapsed 162s
[d=10 shard 3/8] 7500/122111 candidates, 54 charge-bound survivors, 24 blocked, elapsed 174s
[d=10 shard 3/8] 8000/122111 candidates, 67 charge-bound survivors, 25 blocked, elapsed 186s
[d=10 shard 3/8] 8500/122111 candidates, 73 charge-bound survivors, 25 blocked, elapsed 200s
[d=10 shard 3/8] 9000/122111 candidates, 73 charge-bound survivors, 25 blocked, elapsed 212s
[d=10 shard 3/8] 9500/122111 candidates, 73 charge-bound survivors, 25 blocked, elapsed 255s
[d=10 shard 3/8] 10000/122111 candidates, 73 charge-bound survivors, 25 blocked, elapsed 268s
[d=10 shard 3/8] 10500/122111 candidates, 73 charge-bound survivors, 25 blocked, elapsed 281s
[d=10 shard 3/8] 11000/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 370s
[d=10 shard 3/8] 11500/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 385s
[d=10 shard 3/8] 12000/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 397s
[d=10 shard 3/8] 12500/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 409s
[d=10 shard 3/8] 13000/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 1424s
[d=10 shard 3/8] 13500/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 1436s
[d=10 shard 3/8] 14000/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 1448s
[d=10 shard 3/8] 14500/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 1462s
[d=10 shard 3/8] 15000/122111 candidates, 74 charge-bound survivors, 25 blocked, elapsed 1475s
[d=10 shard 3/8] 15500/122111 candidates, 79 charge-bound survivors, 25 blocked, elapsed 1491s
[d=10 shard 3/8] 16000/122111 candidates, 79 charge-bound survivors, 25 blocked, elapsed 1509s
[d=10 shard 3/8] 16500/122111 candidates, 79 charge-bound survivors, 25 blocked, elapsed 1528s
[d=10 shard 3/8] 17000/122111 candidates, 80 charge-bound survivors, 25 blocked, elapsed 1550s
