[d=11 shard 2/8] 500/554866 candidates, 7 charge-bound survivors, 4 blocked, elapsed 38s
[d=11 shard 2/8] 1000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 52s
[d=11 shard 2/8] 1500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 66s
[d=11 shard 2/8] 2000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 82s
[d=11 shard 2/8] 2500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 96s
[d=11 shard 2/8] 3000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 109s
[d=11 shard 2/8] 3500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 119s
[d=11 shard 2/8] 4000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 129s
[d=11 shard 2/8] 4500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1051s
[d=11 shard 2/8] 5000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1055s
[d=11 shard 2/8] 5500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1060s
[d=11 shard 2/8] 6000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1064s
[d=11 shard 2/8] 6500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1069s
[d=11 shard 2/8] 7000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1074s
[d=11 shard 2/8] 7500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1078s
[d=11 shard 2/8] 8000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1083s
[d=11 shard 2/8] 8500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1089s
[d=11 shard 2/8] 9000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1094s
[d=11 shard 2/8] 9500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1100s
[d=11 shard 2/8] 10000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1105s
[d=11 shard 2/8] 10500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1111s
[d=11 shard 2/8] 11000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1117s
[d=11 shard 2/8] 11500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1124s
[d=11 shard 2/8] 12000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1130s
[d=11 shard 2/8] 12500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1137s
[d=11 shard 2/8] 13000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1143s
[d=11 shard 2/8] 13500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1150s
[d=11 shard 2/8] 14000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1157s
[d=11 shard 2/8] 14500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1164s
[d=11 shard 2/8] 15000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1172s
[d=11 shard 2/8] 15500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1180s
[d=11 shard 2/8] 16000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1189s
[d=11 shard 2/8] 16500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1199s
[d=11 shard 2/8] 17000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1209s
[d=11 shard 2/8] 17500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1219s
[d=11 shard 2/8] 18000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1229s
[d=11 shard 2/8] 18500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1238s
[d=11 shard 2/8] 19000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1248s
[d=11 shard 2/8] 19500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1258s
[d=11 shard 2/8] 20000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1267s
[d=11 shard 2/8] 20500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1276s
[d=11 shard 2/8] 21000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1286s
[d=11 shard 2/8] 21500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1295s
[d=11 shard 2/8] 22000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1304s
[d=11 shard 2/8] 22500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1314s
[d=11 shard 2/8] 23000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1323s
[d=11 shard 2/8] 23500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1332s
[d=11 shard 2/8] 24000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1341s
[d=11 shard 2/8] 24500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1350s
[d=11 shard 2/8] 25000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1359s
[d=11 shard 2/8] 25500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1368s
[d=11 shard 2/8] 26000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1377s
[d=11 shard 2/8] 26500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1386s
[d=11 shard 2/8] 27000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1395s
[d=11 shard 2/8] 27500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1405s
[d=11 shard 2/8] 28000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1414s
[d=11 shard 2/8] 28500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1422s
[d=11 shard 2/8] 29000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1431s
[d=11 shard 2/8] 29500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1440s
[d=11 shard 2/8] 30000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1449s
[d=11 shard 2/8] 30500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1458s
[d=11 shard 2/8] 31000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1466s
[d=11 shard 2/8] 31500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1476s
[d=11 shard 2/8] 32000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1485s
[d=11 shard 2/8] 32500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1495s
[d=11 shard 2/8] 33000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1504s
[d=11 shard 2/8] 33500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1513s
[d=11 shard 2/8] 34000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1522s
[d=11 shard 2/8] 34500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1532s
[d=11 shard 2/8] 35000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1542s
[d=11 shard 2/8] 35500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1554s
[d=11 shard 2/8] 36000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1574s
[d=11 shard 2/8] 36500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1592s
[d=11 shard 2/8] 37000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1610s
[d=11 shard 2/8] 37500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1630s
[d=11 shard 2/8] 38000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1649s
[d=11 shard 2/8] 38500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1668s
[d=11 shard 2/8] 39000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1690s
[d=11 shard 2/8] 39500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 1710s
[d=11 shard 2/8] 40000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2513s
[d=11 shard 2/8] 40500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2520s
[d=11 shard 2/8] 41000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2525s
[d=11 shard 2/8] 41500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2531s
[d=11 shard 2/8] 42000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2537s
[d=11 shard 2/8] 42500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2543s
[d=11 shard 2/8] 43000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2549s
[d=11 shard 2/8] 43500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2555s
[d=11 shard 2/8] 44000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2561s
[d=11 shard 2/8] 44500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2567s
[d=11 shard 2/8] 45000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 2574s
[d=11 shard 2/8] 45500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3479s
[d=11 shard 2/8] 46000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3484s
[d=11 shard 2/8] 46500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3488s
[d=11 shard 2/8] 47000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3494s
[d=11 shard 2/8] 47500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3499s
[d=11 shard 2/8] 48000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3504s
[d=11 shard 2/8] 48500/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3509s
[d=11 shard 2/8] 49000/554866 candidates, 8 charge-bound survivors, 4 blocked, elapsed 3515s
