[d=10 shard 0/8] 500/122111 candidates, 6 charge-bound survivors, 6 blocked, elapsed 19s
[d=10 shard 0/8] 1000/122111 candidates, 24 charge-bound survivors, 11 blocked, elapsed 32s
[d=10 shard 0/8] 1500/122111 candidates, 24 charge-bound survivors, 11 blocked, elapsed 40s
[d=10 shard 0/8] 2000/122111 candidates, 40 charge-bound survivors, 17 blocked, elapsed 50s
[d=10 shard 0/8] 2500/122111 candidates, 40 charge-bound survivors, 17 blocked, elapsed 60s
[d=10 shard 0/8] 3000/122111 candidates, 40 charge-bound survivors, 17 blocked, elapsed 69s
[d=10 shard 0/8] 3500/122111 candidates, 47 charge-bound survivors, 17 blocked, elapsed 82s
[d=10 shard 0/8] 4000/122111 candidates, 49 charge-bound survivors, 17 blocked, elapsed 94s
[d=10 shard 0/8] 4500/122111 candidates, 49 charge-bound survivors, 17 blocked, elapsed 105s
[d=10 shard 0/8] 5000/122111 candidates, 50 charge-bound survivors, 17 blocked, elapsed 117s
[d=10 shard 0/8] 5500/122111 candidates, 50 charge-bound survivors, 17 blocked, elapsed 129s
[d=10 shard 0/8] 6000/122111 candidates, 50 charge-bound survivors, 17 blocked, elapsed 141s
[d=10 shard 0/8] 6500/122111 candidates, 50 charge-bound survivors, 17 blocked, elapsed 152s
[d=10 shard 0/8] 7000/122111 candidates, 50 charge-bound survivors, 17 blocked, elapsed 163s
[d=10 shard 0/8] 7500/122111 candidates, 50 charge-bound survivors, 17 blocked, elapsed 174s
[d=10 shard 0/8] 8000/122111 candidates, 57 charge-bound survivors, 18 blocked, elapsed 187s
[d=10 shard 0/8] 8500/122111 candidates, 59 charge-bound survivors, 18 blocked, elapsed 200s
[d=10 shard 0/8] 9000/122111 candidates, 59 charge-bound survivors, 18 blocked, elapsed 211s
[d=10 shard 0/8] 9500/122111 candidates, 60 charge-bound survivors, 18 blocked, elapsed 254s
[d=10 shard 0/8] 10000/122111 candidates, 60 charge-bound survivors, 18 blocked, elapsed 268s
[d=10 shard 0/8] 10500/122111 candidates, 60 charge-bound survivors, 18 blocked, elapsed 280s
