[d=11 shard 4/8] 500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 36s
[d=11 shard 4/8] 1000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 49s
[d=11 shard 4/8] 1500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 62s
[d=11 shard 4/8] 2000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 76s
[d=11 shard 4/8] 2500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 92s
[d=11 shard 4/8] 3000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 106s
[d=11 shard 4/8] 3500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 116s
[d=11 shard 4/8] 4000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 125s
[d=11 shard 4/8] 4500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1048s
[d=11 shard 4/8] 5000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1053s
[d=11 shard 4/8] 5500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1058s
[d=11 shard 4/8] 6000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1062s
[d=11 shard 4/8] 6500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1066s
[d=11 shard 4/8] 7000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1070s
[d=11 shard 4/8] 7500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1075s
[d=11 shard 4/8] 8000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1079s
[d=11 shard 4/8] 8500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1084s
[d=11 shard 4/8] 9000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1089s
[d=11 shard 4/8] 9500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1095s
[d=11 shard 4/8] 10000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1101s
[d=11 shard 4/8] 10500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1106s
[d=11 shard 4/8] 11000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1112s
[d=11 shard 4/8] 11500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1118s
[d=11 shard 4/8] 12000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1125s
[d=11 shard 4/8] 12500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1131s
[d=11 shard 4/8] 13000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1137s
[d=11 shard 4/8] 13500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1144s
[d=11 shard 4/8] 14000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1150s
[d=11 shard 4/8] 14500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1157s
[d=11 shard 4/8] 15000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1165s
[d=11 shard 4/8] 15500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1172s
[d=11 shard 4/8] 16000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1181s
[d=11 shard 4/8] 16500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1190s
[d=11 shard 4/8] 17000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1200s
[d=11 shard 4/8] 17500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1209s
[d=11 shard 4/8] 18000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1219s
[d=11 shard 4/8] 18500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1229s
[d=11 shard 4/8] 19000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1238s
[d=11 shard 4/8] 19500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1248s
[d=11 shard 4/8] 20000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1258s
[d=11 shard 4/8] 20500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1267s
[d=11 shard 4/8] 21000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1276s
[d=11 shard 4/8] 21500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1285s
[d=11 shard 4/8] 22000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1294s
[d=11 shard 4/8] 22500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1303s
[d=11 shard 4/8] 23000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1312s
[d=11 shard 4/8] 23500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1321s
[d=11 shard 4/8] 24000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1330s
[d=11 shard 4/8] 24500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1339s
[d=11 shard 4/8] 25000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1348s
[d=11 shard 4/8] 25500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1357s
[d=11 shard 4/8] 26000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1366s
[d=11 shard 4/8] 26500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1375s
[d=11 shard 4/8] 27000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1384s
[d=11 shard 4/8] 27500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1393s
[d=11 shard 4/8] 28000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1402s
