[d=9 shard 2/8] 500/27131 candidates, 172 charge-bound survivors, 35 blocked, elapsed 10s
[d=9 shard 2/8] 1000/27131 candidates, 250 charge-bound survivors, 37 blocked, elapsed 17s
[d=9 shard 2/8] 1500/27131 candidates, 272 charge-bound survivors, 38 blocked, elapsed 21s
[d=9 shard 2/8] 2000/27131 candidates, 366 charge-bound survivors, 44 blocked, elapsed 29s
[d=9 shard 2/8] 2500/27131 candidates, 396 charge-bound survivors, 44 blocked, elapsed 34s
[d=9 shard 2/8] 3000/27131 candidates, 402 charge-bound survivors, 44 blocked, elapsed 37s
[d=9 shard 2/8] 3500/27131 candidates, 450 charge-bound survivors, 44 blocked, elapsed 44s
[d=9 shard 2/8] 4000/27131 candidates, 463 charge-bound survivors, 44 blocked, elapsed 48s
[d=9 shard 2/8] 4500/27131 candidates, 465 charge-bound survivors, 44 blocked, elapsed 52s
[d=9 shard 2/8] 5000/27131 candidates, 476 charge-bound survivors, 44 blocked, elapsed 56s
[d=9 shard 2/8] 5500/27131 candidates, 479 charge-bound survivors, 44 blocked, elapsed 59s
[d=9 shard 2/8] 6000/27131 candidates, 483 charge-bound survivors, 44 blocked, elapsed 63s
[d=9 shard 2/8] 6500/27131 candidates, 485 charge-bound survivors, 44 blocked, elapsed 67s
[d=9 shard 2/8] 7000/27131 candidates, 485 charge-bound survivors, 44 blocked, elapsed 70s
[d=9 shard 2/8] 7500/27131 candidates, 506 charge-bound survivors, 44 blocked, elapsed 75s
[d=9 shard 2/8] 8000/27131 candidates, 516 charge-bound survivors, 44 blocked, elapsed 79s
[d=9 shard 2/8] 8500/27131 candidates, 523 charge-bound survivors, 44 blocked, elapsed 84s
[d=9 shard 2/8] 9000/27131 candidates, 533 charge-bound survivors, 44 blocked, elapsed 89s
[d=9 shard 2/8] 9500/27131 candidates, 533 charge-bound survivors, 44 blocked, elapsed 92s
[d=9 shard 2/8] 10000/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 96s
[d=9 shard 2/8] 10500/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 100s
[d=9 shard 2/8] 11000/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 104s
[d=9 shard 2/8] 11500/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 107s
[d=9 shard 2/8] 12000/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 111s
[d=9 shard 2/8] 12500/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 114s
[d=9 shard 2/8] 13000/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 117s
[d=9 shard 2/8] 13500/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 121s
[d=9 shard 2/8] 14000/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 125s
[d=9 shard 2/8] 14500/27131 candidates, 535 charge-bound survivors, 44 blocked, elapsed 129s
[d=9 shard 2/8] 15000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 133s
[d=9 shard 2/8] 15500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 136s
[d=9 shard 2/8] 16000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 141s
[d=9 shard 2/8] 16500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 144s
[d=9 shard 2/8] 17000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 147s
[d=9 shard 2/8] 17500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 151s
[d=9 shard 2/8] 18000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 154s
[d=9 shard 2/8] 18500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 157s
[d=9 shard 2/8] 19000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 204s
[d=9 shard 2/8] 19500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 215s
[d=9 shard 2/8] 20000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 218s
[d=9 shard 2/8] 20500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 222s
[d=9 shard 2/8] 21000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 225s
[d=9 shard 2/8] 21500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 228s
[d=9 shard 2/8] 22000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 232s
[d=9 shard 2/8] 22500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 235s
[d=9 shard 2/8] 23000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 238s
[d=9 shard 2/8] 23500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 241s
[d=9 shard 2/8] 24000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 246s
[d=9 shard 2/8] 24500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 250s
[d=9 shard 2/8] 25000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 255s
[d=9 shard 2/8] 25500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 259s
[d=9 shard 2/8] 26000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 264s
[d=9 shard 2/8] 26500/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 270s
[d=9 shard 2/8] 27000/27131 candidates, 536 charge-bound survivors, 44 blocked, elapsed 277s
[d=9 shard 2/8] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/p2-coverage/wheel_survivors_d9_shard2of8.jsonl
