[d=9 shard 7/8] 500/27130 candidates, 109 charge-bound survivors, 29 blocked, elapsed 7s
[d=9 shard 7/8] 1000/27130 candidates, 164 charge-bound survivors, 33 blocked, elapsed 13s
[d=9 shard 7/8] 1500/27130 candidates, 172 charge-bound survivors, 35 blocked, elapsed 16s
[d=9 shard 7/8] 2000/27130 candidates, 240 charge-bound survivors, 40 blocked, elapsed 23s
[d=9 shard 7/8] 2500/27130 candidates, 261 charge-bound survivors, 40 blocked, elapsed 28s
[d=9 shard 7/8] 3000/27130 candidates, 265 charge-bound survivors, 40 blocked, elapsed 32s
[d=9 shard 7/8] 3500/27130 candidates, 308 charge-bound survivors, 40 blocked, elapsed 37s
[d=9 shard 7/8] 4000/27130 candidates, 328 charge-bound survivors, 40 blocked, elapsed 42s
[d=9 shard 7/8] 4500/27130 candidates, 328 charge-bound survivors, 40 blocked, elapsed 46s
[d=9 shard 7/8] 5000/27130 candidates, 336 charge-bound survivors, 40 blocked, elapsed 50s
[d=9 shard 7/8] 5500/27130 candidates, 336 charge-bound survivors, 40 blocked, elapsed 53s
[d=9 shard 7/8] 6000/27130 candidates, 336 charge-bound survivors, 40 blocked, elapsed 57s
[d=9 shard 7/8] 6500/27130 candidates, 336 charge-bound survivors, 40 blocked, elapsed 60s
[d=9 shard 7/8] 7000/27130 candidates, 337 charge-bound survivors, 40 blocked, elapsed 64s
[d=9 shard 7/8] 7500/27130 candidates, 355 charge-bound survivors, 40 blocked, elapsed 68s
[d=9 shard 7/8] 8000/27130 candidates, 364 charge-bound survivors, 40 blocked, elapsed 72s
[d=9 shard 7/8] 8500/27130 candidates, 371 charge-bound survivors, 40 blocked, elapsed 76s
[d=9 shard 7/8] 9000/27130 candidates, 376 charge-bound survivors, 40 blocked, elapsed 80s
[d=9 shard 7/8] 9500/27130 candidates, 376 charge-bound survivors, 40 blocked, elapsed 85s
[d=9 shard 7/8] 10000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 89s
[d=9 shard 7/8] 10500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 93s
[d=9 shard 7/8] 11000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 96s
[d=9 shard 7/8] 11500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 100s
[d=9 shard 7/8] 12000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 103s
[d=9 shard 7/8] 12500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 107s
[d=9 shard 7/8] 13000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 110s
[d=9 shard 7/8] 13500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 114s
[d=9 shard 7/8] 14000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 117s
[d=9 shard 7/8] 14500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 121s
[d=9 shard 7/8] 15000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 125s
[d=9 shard 7/8] 15500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 129s
[d=9 shard 7/8] 16000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 132s
[d=9 shard 7/8] 16500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 136s
[d=9 shard 7/8] 17000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 140s
[d=9 shard 7/8] 17500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 143s
[d=9 shard 7/8] 18000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 146s
[d=9 shard 7/8] 18500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 150s
[d=9 shard 7/8] 19000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 153s
[d=9 shard 7/8] 19500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 156s
[d=9 shard 7/8] 20000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 159s
[d=9 shard 7/8] 20500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 214s
[d=9 shard 7/8] 21000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 217s
[d=9 shard 7/8] 21500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 221s
[d=9 shard 7/8] 22000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 224s
[d=9 shard 7/8] 22500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 227s
[d=9 shard 7/8] 23000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 230s
[d=9 shard 7/8] 23500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 234s
[d=9 shard 7/8] 24000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 237s
[d=9 shard 7/8] 24500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 241s
[d=9 shard 7/8] 25000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 245s
[d=9 shard 7/8] 25500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 249s
[d=9 shard 7/8] 26000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 254s
[d=9 shard 7/8] 26500/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 258s
[d=9 shard 7/8] 27000/27130 candidates, 379 charge-bound survivors, 40 blocked, elapsed 262s
[d=9 shard 7/8] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/p2-coverage/wheel_survivors_d9_shard7of8.jsonl
