[d=11 shard 0/8] 500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 37s
[d=11 shard 0/8] 1000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 49s
[d=11 shard 0/8] 1500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 62s
[d=11 shard 0/8] 2000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 77s
[d=11 shard 0/8] 2500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 93s
[d=11 shard 0/8] 3000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 106s
[d=11 shard 0/8] 3500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 116s
[d=11 shard 0/8] 4000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 125s
[d=11 shard 0/8] 4500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1049s
[d=11 shard 0/8] 5000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1054s
[d=11 shard 0/8] 5500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1058s
[d=11 shard 0/8] 6000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1062s
[d=11 shard 0/8] 6500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1067s
[d=11 shard 0/8] 7000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1071s
[d=11 shard 0/8] 7500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1075s
[d=11 shard 0/8] 8000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1080s
[d=11 shard 0/8] 8500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1085s
[d=11 shard 0/8] 9000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1090s
[d=11 shard 0/8] 9500/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1096s
[d=11 shard 0/8] 10000/554866 candidates, 1 charge-bound survivors, 1 blocked, elapsed 1101s
