[d=11 shard 7/8] 500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 35s
[d=11 shard 7/8] 1000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 48s
[d=11 shard 7/8] 1500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 60s
[d=11 shard 7/8] 2000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 75s
[d=11 shard 7/8] 2500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 90s
[d=11 shard 7/8] 3000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 105s
[d=11 shard 7/8] 3500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 115s
[d=11 shard 7/8] 4000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 124s
[d=11 shard 7/8] 4500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1047s
[d=11 shard 7/8] 5000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1053s
[d=11 shard 7/8] 5500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1057s
[d=11 shard 7/8] 6000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1061s
[d=11 shard 7/8] 6500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1065s
[d=11 shard 7/8] 7000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1070s
[d=11 shard 7/8] 7500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1074s
[d=11 shard 7/8] 8000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1079s
[d=11 shard 7/8] 8500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1084s
[d=11 shard 7/8] 9000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1089s
[d=11 shard 7/8] 9500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1094s
[d=11 shard 7/8] 10000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1100s
[d=11 shard 7/8] 10500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1105s
[d=11 shard 7/8] 11000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1111s
[d=11 shard 7/8] 11500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1117s
[d=11 shard 7/8] 12000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1123s
[d=11 shard 7/8] 12500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1129s
[d=11 shard 7/8] 13000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1136s
[d=11 shard 7/8] 13500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1142s
[d=11 shard 7/8] 14000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1149s
[d=11 shard 7/8] 14500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1155s
[d=11 shard 7/8] 15000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1163s
[d=11 shard 7/8] 15500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1170s
[d=11 shard 7/8] 16000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1179s
[d=11 shard 7/8] 16500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1188s
[d=11 shard 7/8] 17000/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1197s
[d=11 shard 7/8] 17500/554865 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1207s
