[d=9 shard 1/8] 500/27131 candidates, 217 charge-bound survivors, 72 blocked, elapsed 11s
[d=9 shard 1/8] 1000/27131 candidates, 301 charge-bound survivors, 82 blocked, elapsed 17s
[d=9 shard 1/8] 1500/27131 candidates, 323 charge-bound survivors, 85 blocked, elapsed 21s
[d=9 shard 1/8] 2000/27131 candidates, 407 charge-bound survivors, 93 blocked, elapsed 29s
[d=9 shard 1/8] 2500/27131 candidates, 426 charge-bound survivors, 93 blocked, elapsed 33s
[d=9 shard 1/8] 3000/27131 candidates, 431 charge-bound survivors, 93 blocked, elapsed 37s
[d=9 shard 1/8] 3500/27131 candidates, 497 charge-bound survivors, 93 blocked, elapsed 43s
[d=9 shard 1/8] 4000/27131 candidates, 514 charge-bound survivors, 93 blocked, elapsed 48s
[d=9 shard 1/8] 4500/27131 candidates, 516 charge-bound survivors, 93 blocked, elapsed 52s
[d=9 shard 1/8] 5000/27131 candidates, 527 charge-bound survivors, 93 blocked, elapsed 56s
[d=9 shard 1/8] 5500/27131 candidates, 530 charge-bound survivors, 93 blocked, elapsed 59s
[d=9 shard 1/8] 6000/27131 candidates, 535 charge-bound survivors, 93 blocked, elapsed 63s
[d=9 shard 1/8] 6500/27131 candidates, 539 charge-bound survivors, 93 blocked, elapsed 67s
[d=9 shard 1/8] 7000/27131 candidates, 539 charge-bound survivors, 93 blocked, elapsed 70s
[d=9 shard 1/8] 7500/27131 candidates, 572 charge-bound survivors, 94 blocked, elapsed 75s
[d=9 shard 1/8] 8000/27131 candidates, 585 charge-bound survivors, 94 blocked, elapsed 79s
[d=9 shard 1/8] 8500/27131 candidates, 594 charge-bound survivors, 94 blocked, elapsed 84s
[d=9 shard 1/8] 9000/27131 candidates, 601 charge-bound survivors, 94 blocked, elapsed 89s
[d=9 shard 1/8] 9500/27131 candidates, 601 charge-bound survivors, 94 blocked, elapsed 92s
[d=9 shard 1/8] 10000/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 96s
[d=9 shard 1/8] 10500/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 100s
[d=9 shard 1/8] 11000/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 103s
[d=9 shard 1/8] 11500/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 107s
[d=9 shard 1/8] 12000/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 110s
[d=9 shard 1/8] 12500/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 114s
[d=9 shard 1/8] 13000/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 117s
[d=9 shard 1/8] 13500/27131 candidates, 606 charge-bound survivors, 94 blocked, elapsed 121s
[d=9 shard 1/8] 14000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 125s
[d=9 shard 1/8] 14500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 128s
[d=9 shard 1/8] 15000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 132s
[d=9 shard 1/8] 15500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 136s
[d=9 shard 1/8] 16000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 140s
[d=9 shard 1/8] 16500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 143s
[d=9 shard 1/8] 17000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 147s
[d=9 shard 1/8] 17500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 150s
[d=9 shard 1/8] 18000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 153s
[d=9 shard 1/8] 18500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 156s
[d=9 shard 1/8] 19000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 160s
[d=9 shard 1/8] 19500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 214s
[d=9 shard 1/8] 20000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 218s
[d=9 shard 1/8] 20500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 221s
[d=9 shard 1/8] 21000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 224s
[d=9 shard 1/8] 21500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 228s
[d=9 shard 1/8] 22000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 231s
[d=9 shard 1/8] 22500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 234s
[d=9 shard 1/8] 23000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 237s
[d=9 shard 1/8] 23500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 240s
[d=9 shard 1/8] 24000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 244s
[d=9 shard 1/8] 24500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 249s
[d=9 shard 1/8] 25000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 253s
[d=9 shard 1/8] 25500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 258s
[d=9 shard 1/8] 26000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 263s
[d=9 shard 1/8] 26500/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 269s
[d=9 shard 1/8] 27000/27131 candidates, 607 charge-bound survivors, 94 blocked, elapsed 275s
[d=9 shard 1/8] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/p2-coverage/wheel_survivors_d9_shard1of8.jsonl
