[d=10 shard 7/8] 500/122110 candidates, 15 charge-bound survivors, 6 blocked, elapsed 19s
[d=10 shard 7/8] 1000/122110 candidates, 18 charge-bound survivors, 6 blocked, elapsed 30s
[d=10 shard 7/8] 1500/122110 candidates, 19 charge-bound survivors, 6 blocked, elapsed 39s
[d=10 shard 7/8] 2000/122110 candidates, 47 charge-bound survivors, 16 blocked, elapsed 49s
[d=10 shard 7/8] 2500/122110 candidates, 50 charge-bound survivors, 16 blocked, elapsed 59s
[d=10 shard 7/8] 3000/122110 candidates, 50 charge-bound survivors, 16 blocked, elapsed 68s
[d=10 shard 7/8] 3500/122110 candidates, 59 charge-bound survivors, 16 blocked, elapsed 80s
[d=10 shard 7/8] 4000/122110 candidates, 59 charge-bound survivors, 16 blocked, elapsed 92s
[d=10 shard 7/8] 4500/122110 candidates, 59 charge-bound survivors, 16 blocked, elapsed 103s
[d=10 shard 7/8] 5000/122110 candidates, 60 charge-bound survivors, 16 blocked, elapsed 115s
[d=10 shard 7/8] 5500/122110 candidates, 60 charge-bound survivors, 16 blocked, elapsed 127s
[d=10 shard 7/8] 6000/122110 candidates, 60 charge-bound survivors, 16 blocked, elapsed 138s
[d=10 shard 7/8] 6500/122110 candidates, 60 charge-bound survivors, 16 blocked, elapsed 149s
[d=10 shard 7/8] 7000/122110 candidates, 60 charge-bound survivors, 16 blocked, elapsed 161s
[d=10 shard 7/8] 7500/122110 candidates, 60 charge-bound survivors, 16 blocked, elapsed 172s
[d=10 shard 7/8] 8000/122110 candidates, 76 charge-bound survivors, 20 blocked, elapsed 184s
[d=10 shard 7/8] 8500/122110 candidates, 86 charge-bound survivors, 20 blocked, elapsed 197s
[d=10 shard 7/8] 9000/122110 candidates, 86 charge-bound survivors, 20 blocked, elapsed 209s
[d=10 shard 7/8] 9500/122110 candidates, 87 charge-bound survivors, 20 blocked, elapsed 250s
[d=10 shard 7/8] 10000/122110 candidates, 88 charge-bound survivors, 20 blocked, elapsed 266s
[d=10 shard 7/8] 10500/122110 candidates, 88 charge-bound survivors, 20 blocked, elapsed 278s
[d=10 shard 7/8] 11000/122110 candidates, 88 charge-bound survivors, 20 blocked, elapsed 290s
[d=10 shard 7/8] 11500/122110 candidates, 88 charge-bound survivors, 20 blocked, elapsed 381s
[d=10 shard 7/8] 12000/122110 candidates, 88 charge-bound survivors, 20 blocked, elapsed 394s
