[d=10 shard 2/8] 500/122111 candidates, 61 charge-bound survivors, 22 blocked, elapsed 23s
[d=10 shard 2/8] 1000/122111 candidates, 69 charge-bound survivors, 24 blocked, elapsed 34s
[d=10 shard 2/8] 1500/122111 candidates, 70 charge-bound survivors, 24 blocked, elapsed 42s
[d=10 shard 2/8] 2000/122111 candidates, 86 charge-bound survivors, 25 blocked, elapsed 51s
[d=10 shard 2/8] 2500/122111 candidates, 93 charge-bound survivors, 25 blocked, elapsed 61s
[d=10 shard 2/8] 3000/122111 candidates, 93 charge-bound survivors, 25 blocked, elapsed 70s
[d=10 shard 2/8] 3500/122111 candidates, 107 charge-bound survivors, 25 blocked, elapsed 84s
[d=10 shard 2/8] 4000/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 96s
[d=10 shard 2/8] 4500/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 108s
[d=10 shard 2/8] 5000/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 119s
[d=10 shard 2/8] 5500/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 130s
[d=10 shard 2/8] 6000/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 142s
[d=10 shard 2/8] 6500/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 154s
[d=10 shard 2/8] 7000/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 166s
[d=10 shard 2/8] 7500/122111 candidates, 108 charge-bound survivors, 25 blocked, elapsed 177s
[d=10 shard 2/8] 8000/122111 candidates, 113 charge-bound survivors, 25 blocked, elapsed 188s
[d=10 shard 2/8] 8500/122111 candidates, 119 charge-bound survivors, 25 blocked, elapsed 201s
[d=10 shard 2/8] 9000/122111 candidates, 119 charge-bound survivors, 25 blocked, elapsed 212s
[d=10 shard 2/8] 9500/122111 candidates, 122 charge-bound survivors, 25 blocked, elapsed 256s
[d=10 shard 2/8] 10000/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 270s
[d=10 shard 2/8] 10500/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 282s
[d=10 shard 2/8] 11000/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 371s
[d=10 shard 2/8] 11500/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 387s
[d=10 shard 2/8] 12000/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 399s
[d=10 shard 2/8] 12500/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 410s
[d=10 shard 2/8] 13000/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 1425s
[d=10 shard 2/8] 13500/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 1437s
[d=10 shard 2/8] 14000/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 1449s
[d=10 shard 2/8] 14500/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 1462s
[d=10 shard 2/8] 15000/122111 candidates, 124 charge-bound survivors, 25 blocked, elapsed 1475s
[d=10 shard 2/8] 15500/122111 candidates, 127 charge-bound survivors, 25 blocked, elapsed 1491s
[d=10 shard 2/8] 16000/122111 candidates, 127 charge-bound survivors, 25 blocked, elapsed 1509s
[d=10 shard 2/8] 16500/122111 candidates, 127 charge-bound survivors, 25 blocked, elapsed 1528s
[d=10 shard 2/8] 17000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1549s
[d=10 shard 2/8] 17500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1576s
[d=10 shard 2/8] 18000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1605s
[d=10 shard 2/8] 18500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1639s
[d=10 shard 2/8] 19000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1672s
[d=10 shard 2/8] 19500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1722s
[d=10 shard 2/8] 20000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1780s
[d=10 shard 2/8] 20500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1938s
[d=10 shard 2/8] 21000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1952s
[d=10 shard 2/8] 21500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1966s
[d=10 shard 2/8] 22000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 1983s
[d=10 shard 2/8] 22500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 2350s
[d=10 shard 2/8] 23000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 2364s
[d=10 shard 2/8] 23500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 2377s
[d=10 shard 2/8] 24000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 2392s
[d=10 shard 2/8] 24500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 2408s
[d=10 shard 2/8] 25000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 3420s
[d=10 shard 2/8] 25500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 3433s
[d=10 shard 2/8] 26000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 3445s
[d=10 shard 2/8] 26500/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 3457s
[d=10 shard 2/8] 27000/122111 candidates, 128 charge-bound survivors, 25 blocked, elapsed 3470s
