[d=11 shard 3/8] 500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 36s
[d=11 shard 3/8] 1000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 48s
[d=11 shard 3/8] 1500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 61s
[d=11 shard 3/8] 2000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 76s
[d=11 shard 3/8] 2500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 91s
[d=11 shard 3/8] 3000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 105s
[d=11 shard 3/8] 3500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 115s
[d=11 shard 3/8] 4000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 125s
[d=11 shard 3/8] 4500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1048s
[d=11 shard 3/8] 5000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1053s
[d=11 shard 3/8] 5500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1057s
[d=11 shard 3/8] 6000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1062s
[d=11 shard 3/8] 6500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1066s
[d=11 shard 3/8] 7000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1070s
[d=11 shard 3/8] 7500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1074s
[d=11 shard 3/8] 8000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1079s
[d=11 shard 3/8] 8500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1084s
[d=11 shard 3/8] 9000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1089s
[d=11 shard 3/8] 9500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1095s
[d=11 shard 3/8] 10000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1101s
[d=11 shard 3/8] 10500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1106s
[d=11 shard 3/8] 11000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1112s
[d=11 shard 3/8] 11500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1118s
[d=11 shard 3/8] 12000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1125s
[d=11 shard 3/8] 12500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1131s
[d=11 shard 3/8] 13000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1137s
[d=11 shard 3/8] 13500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1144s
[d=11 shard 3/8] 14000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1150s
[d=11 shard 3/8] 14500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1157s
[d=11 shard 3/8] 15000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1165s
[d=11 shard 3/8] 15500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1172s
[d=11 shard 3/8] 16000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1181s
[d=11 shard 3/8] 16500/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1190s
[d=11 shard 3/8] 17000/554866 candidates, 0 charge-bound survivors, 0 blocked, elapsed 1199s
