[d=10 shard 1/8] 500/122111 candidates, 72 charge-bound survivors, 48 blocked, elapsed 23s
[d=10 shard 1/8] 1000/122111 candidates, 88 charge-bound survivors, 50 blocked, elapsed 34s
[d=10 shard 1/8] 1500/122111 candidates, 88 charge-bound survivors, 50 blocked, elapsed 43s
[d=10 shard 1/8] 2000/122111 candidates, 97 charge-bound survivors, 53 blocked, elapsed 52s
[d=10 shard 1/8] 2500/122111 candidates, 99 charge-bound survivors, 53 blocked, elapsed 63s
[d=10 shard 1/8] 3000/122111 candidates, 99 charge-bound survivors, 53 blocked, elapsed 71s
[d=10 shard 1/8] 3500/122111 candidates, 117 charge-bound survivors, 54 blocked, elapsed 84s
[d=10 shard 1/8] 4000/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 97s
[d=10 shard 1/8] 4500/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 109s
[d=10 shard 1/8] 5000/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 120s
[d=10 shard 1/8] 5500/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 132s
[d=10 shard 1/8] 6000/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 143s
[d=10 shard 1/8] 6500/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 155s
[d=10 shard 1/8] 7000/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 167s
[d=10 shard 1/8] 7500/122111 candidates, 120 charge-bound survivors, 54 blocked, elapsed 178s
[d=10 shard 1/8] 8000/122111 candidates, 124 charge-bound survivors, 54 blocked, elapsed 189s
[d=10 shard 1/8] 8500/122111 candidates, 125 charge-bound survivors, 54 blocked, elapsed 202s
[d=10 shard 1/8] 9000/122111 candidates, 125 charge-bound survivors, 54 blocked, elapsed 214s
[d=10 shard 1/8] 9500/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 257s
[d=10 shard 1/8] 10000/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 271s
[d=10 shard 1/8] 10500/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 283s
[d=10 shard 1/8] 11000/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 372s
[d=10 shard 1/8] 11500/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 387s
[d=10 shard 1/8] 12000/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 399s
[d=10 shard 1/8] 12500/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 410s
[d=10 shard 1/8] 13000/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 1425s
[d=10 shard 1/8] 13500/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 1437s
[d=10 shard 1/8] 14000/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 1449s
[d=10 shard 1/8] 14500/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 1462s
[d=10 shard 1/8] 15000/122111 candidates, 130 charge-bound survivors, 54 blocked, elapsed 1476s
[d=10 shard 1/8] 15500/122111 candidates, 134 charge-bound survivors, 54 blocked, elapsed 1491s
[d=10 shard 1/8] 16000/122111 candidates, 134 charge-bound survivors, 54 blocked, elapsed 1509s
[d=10 shard 1/8] 16500/122111 candidates, 134 charge-bound survivors, 54 blocked, elapsed 1528s
[d=10 shard 1/8] 17000/122111 candidates, 134 charge-bound survivors, 54 blocked, elapsed 1549s
[d=10 shard 1/8] 17500/122111 candidates, 134 charge-bound survivors, 54 blocked, elapsed 1576s
[d=10 shard 1/8] 18000/122111 candidates, 134 charge-bound survivors, 54 blocked, elapsed 1606s
[d=10 shard 1/8] 18500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1639s
[d=10 shard 1/8] 19000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1673s
[d=10 shard 1/8] 19500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1723s
[d=10 shard 1/8] 20000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1782s
[d=10 shard 1/8] 20500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1938s
[d=10 shard 1/8] 21000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1952s
[d=10 shard 1/8] 21500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1966s
[d=10 shard 1/8] 22000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 1983s
[d=10 shard 1/8] 22500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 2000s
[d=10 shard 1/8] 23000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 2363s
[d=10 shard 1/8] 23500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 2377s
[d=10 shard 1/8] 24000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 2391s
[d=10 shard 1/8] 24500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 2408s
[d=10 shard 1/8] 25000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3420s
[d=10 shard 1/8] 25500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3432s
[d=10 shard 1/8] 26000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3445s
[d=10 shard 1/8] 26500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3458s
[d=10 shard 1/8] 27000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3471s
[d=10 shard 1/8] 27500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3485s
[d=10 shard 1/8] 28000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3500s
[d=10 shard 1/8] 28500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3517s
[d=10 shard 1/8] 29000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3535s
[d=10 shard 1/8] 29500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3556s
[d=10 shard 1/8] 30000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3582s
[d=10 shard 1/8] 30500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3606s
[d=10 shard 1/8] 31000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3635s
[d=10 shard 1/8] 31500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3664s
[d=10 shard 1/8] 32000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3693s
[d=10 shard 1/8] 32500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3724s
[d=10 shard 1/8] 33000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3754s
[d=10 shard 1/8] 33500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3783s
[d=10 shard 1/8] 34000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3832s
[d=10 shard 1/8] 34500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3884s
[d=10 shard 1/8] 35000/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 3940s
[d=10 shard 1/8] 35500/122111 candidates, 135 charge-bound survivors, 54 blocked, elapsed 4954s
[d=10 shard 1/8] 36000/122111 candidates, 137 charge-bound survivors, 54 blocked, elapsed 4965s
[d=10 shard 1/8] 36500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 4979s
[d=10 shard 1/8] 37000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 4993s
[d=10 shard 1/8] 37500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5008s
[d=10 shard 1/8] 38000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5026s
[d=10 shard 1/8] 38500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5044s
[d=10 shard 1/8] 39000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5064s
[d=10 shard 1/8] 39500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5086s
[d=10 shard 1/8] 40000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5110s
[d=10 shard 1/8] 40500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5139s
[d=10 shard 1/8] 41000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5168s
[d=10 shard 1/8] 41500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5201s
[d=10 shard 1/8] 42000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5233s
[d=10 shard 1/8] 42500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5266s
[d=10 shard 1/8] 43000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5300s
[d=10 shard 1/8] 43500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5344s
[d=10 shard 1/8] 44000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 5407s
[d=10 shard 1/8] 44500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 6147s
[d=10 shard 1/8] 45000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 6161s
[d=10 shard 1/8] 45500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 6175s
[d=10 shard 1/8] 46000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 6189s
[d=10 shard 1/8] 46500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 6205s
[d=10 shard 1/8] 47000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7175s
[d=10 shard 1/8] 47500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7189s
[d=10 shard 1/8] 48000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7203s
[d=10 shard 1/8] 48500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7219s
[d=10 shard 1/8] 49000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7235s
[d=10 shard 1/8] 49500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7252s
[d=10 shard 1/8] 50000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7270s
[d=10 shard 1/8] 50500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7290s
[d=10 shard 1/8] 51000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7311s
[d=10 shard 1/8] 51500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7335s
[d=10 shard 1/8] 52000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7361s
[d=10 shard 1/8] 52500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7389s
[d=10 shard 1/8] 53000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7417s
[d=10 shard 1/8] 53500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7445s
[d=10 shard 1/8] 54000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7473s
[d=10 shard 1/8] 54500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7502s
[d=10 shard 1/8] 55000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7531s
[d=10 shard 1/8] 55500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7561s
[d=10 shard 1/8] 56000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7602s
[d=10 shard 1/8] 56500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7655s
[d=10 shard 1/8] 57000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7708s
[d=10 shard 1/8] 57500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 7762s
[d=10 shard 1/8] 58000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 8746s
[d=10 shard 1/8] 58500/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 8757s
[d=10 shard 1/8] 59000/122111 candidates, 138 charge-bound survivors, 54 blocked, elapsed 8770s
